Identification,Schedule Number,Pipe DN,Outside Diamter (mm),Wall Thickness (mm)
,5,50,60.3,1.65
,,50,60.3,2.11
,10,50,60.3,2.77
,30,50,60.3,3.18
,,50,60.3,3.58
STD,40,50,60.3,3.91
,,50,60.3,4.37
,,50,60.3,11.78
XS,80,50,60.3,5.54
,,50,60.3,6.35
,,50,60.3,7.14
,160,50,60.3,8.74
XXS,,50,60.3,11.07
,5,65,73,2.11
,,65,73,2.77
,10,65,73,3.05
,,65,73,3.18
,,65,73,3.58
,,65,73,3.96
,,65,73,4.37
,30,65,73,4.78
STD,40,65,73,5.16
,,65,73,5.49
,,65,73,6.35
XS,80,65,73,7.01
,160,65,73,9.53
XXS,,65,73,14.02
,5,80,88.9,2.11
,,80,88.9,2.77
,10,80,88.9,3.05
,,80,88.9,3.18
,,80,88.9,3.58
,,80,88.9,3.96
,,80,88.9,4.37
,30,80,88.9,4.78
STD,40,80,88.9,5.49
,,80,88.9,6.35
,,80,88.9,7.14
XS,80,80,88.9,7.62
,160,80,88.9,11.13
XXS,,80,88.9,15.24
,5,90,101.6,2.11
,,90,101.6,2.77
,10,90,101.6,3.05
,,90,101.6,3.18
,,90,101.6,3.58
,,90,101.6,3.96
,,90,101.6,4.37
,30,90,101.6,4.78
STD,40,90,101.6,5.74
,,90,101.6,6.35
,,90,101.6,7.14
XS,80,90,101.6,8.08
,5,100,114.3,2.11
,,100,114.3,2.77
,10,100,114.3,3.05
,,100,114.3,3.18
,,100,114.3,3.58
,,100,114.3,3.96
,,100,114.3,4.37
,30,100,114.3,4.78
,,100,114.3,5.16
,,100,114.3,5.56
STD,40,100,114.3,6.02
,,100,114.3,6.35
,,100,114.3,7.14
,,100,114.3,7.92
XS,80,100,114.3,8.56
,120,100,114.3,11.13
,160,100,114.3,13.49
XXS,,100,114.3,17.12
,,125,141.3,2.11
,5,125,141.3,2.77
,,125,141.3,3.18
,10,125,141.3,3.4
,,125,141.3,3.96
,,125,141.3,4.78
,,125,141.3,5.56
STD,40,125,141.3,6.55
,,125,141.3,7.14
,,125,141.3,7.92
,,125,141.3,8.74
XS,80,125,141.3,9.53
,120,125,141.3,12.7
,160,125,141.3,15.88
XXS,,125,141.3,19.05
,,150,168.3,2.11
,5,150,168.3,2.77
,,150,168.3,3.18
,10,150,168.3,3.4
,,150,168.3,3.58
,,150,168.3,3.96
,,150,168.3,4.37
,,150,168.3,4.78
,,150,168.3,5.16
,,150,168.3,5.56
,,150,168.3,6.35
STD,40,150,168.3,7.11
,,150,168.3,7.92
,,150,168.3,8.74
,,150,168.3,9.53
XS,80,150,168.3,10.97
,,150,168.3,12.7
,120,150,168.3,14.27
,,150,168.3,15.88
,160,150,168.3,18.26
,,150,168.3,19.05
XXS,,150,168.3,21.95
,,150,168.3,22.23
,5,200,219.1,2.77
,,200,219.1,3.18
,10,200,219.1,3.76
,,200,219.1,3.96
,,200,219.1,4.78
,,200,219.1,5.16
,,200,219.1,5.56
,20,200,219.1,6.35
,30,200,219.1,7.04
,,200,219.1,7.92
STD,40,200,219.1,8.18
,,200,219.1,8.74
,,200,219.1,9.53
,60,200,219.1,10.31
,,200,219.1,11.13
XS,80,200,219.1,12.7
,,200,219.1,14.27
,100,200,219.1,15.09
,,200,219.1,15.88
,120,200,219.1,18.26
,,200,219.1,19.05
,140,200,219.1,20.62
XXS,,200,219.1,22.23
,160,200,219.1,23.01
,,200,219.1,25.4
,5,250,273,3.4
,,250,273,3.96
,10,250,273,4.19
,,250,273,4.78
,,250,273,5.16
,,250,273,5.56
,20,250,273,6.35
,,250,273,7.09
,30,250,273,7.8
,,250,273,8.74
STD,40,250,273,9.27
,,250,273,11.13
XS,60,250,273,12.7
,,250,273,14.27
,80,250,273,15.09
,,250,273,15.88
,100,250,273,18.26
,,250,273,20.62
,120,250,273,21.44
,,250,273,22.23
,,250,273,23.83
XXS,140,250,273,25.4
,160,250,273,28.58
,,250,273,31.75
,5,300,323.8,3.96
,,300,323.8,4.37
,10,300,323.8,4.57
,,300,323.8,4.78
,,300,323.8,5.16
,,300,323.8,5.56
,20,300,323.8,6.35
,,300,323.8,7.14
,,300,323.8,7.92
,30,300,323.8,8.38
,,300,323.8,8.74
STD,,300,323.8,9.53
,40,300,323.8,10.31
,,300,323.8,11.13
XS,,300,323.8,12.7
,60,300,323.8,14.27
,,300,323.8,15.88
,80,300,323.8,17.48
,,300,323.8,19.05
,,300,323.8,20.62
,100,300,323.8,21.44
,,300,323.8,22.23
,,300,323.8,23.83
XXS,120,300,323.8,25.4
,,300,323.8,26.97
,140,300,323.8,28.58
,,300,323.8,31.75
,160,300,323.8,33.32
,5,400,406.4,4.19
,,400,406.4,4.78
,,400,406.4,5.16
,,400,406.4,5.56
,10,400,406.4,6.35
,,400,406.4,7.14
,20,400,406.4,7.92
,,400,406.4,8.74
STD,30,400,406.4,9.53
,,400,406.4,10.31
,,400,406.4,11.13
,,400,406.4,11.91
XS,40,400,406.4,12.7
,,400,406.4,14.27
,,400,406.4,15.88
,60,400,406.4,16.66
,,400,406.4,17.48
,,400,406.4,19.05
,,400,406.4,20.62
,80,400,406.4,21.44
,,400,406.4,22.23
,,400,406.4,23.83
,,400,406.4,25.4
,100,400,406.4,26.19
,,400,406.4,26.97
,,400,406.4,28.58
,,400,406.4,30.18
,120,400,406.4,30.96
,,400,406.4,31.75
,140,400,406.4,36.53
,160,400,406.4,40.49
