File Name,HotSpotStress
1,30.379
10,1.123
100,21.614
1000,11.001
1001,7.155
1002,8.064
1003,0.361
1004,5.806
1005,3.552
1006,3.753
1007,4.846
1008,2.447
1009,8.712
101,25.321
1010,8.922
1011,4.783
1012,8.2
1013,0.75
1014,9.673
1015,3.476
1016,1.367
1017,1.039
1018,1.898
1019,5.911
102,21.973
1020,4.94
1021,2.631
1022,2.477
1023,1.417
1024,0.387
1025,2.629
1026,0.231
1027,3.18
1028,0.229
1029,4.422
103,6.516
1030,0.457
1031,2.424
1032,2.573
1033,5.954
1034,3.653
1035,1.563
1036,6.241
1037,0.253
1038,1.636
1039,2.279
104,1.772
1040,0.247
1041,4.271
1042,0.316
1043,0.448
1044,1.513
1045,2.602
1046,1.389
1047,4.92
1048,0.265
1049,3.564
105,27.262
1050,0.479
1051,4.714
1052,5.315
1053,4.038
1054,1.546
1055,0.431
1056,7.199
1057,3.138
1058,1.755
1059,1.567
106,47.321
1060,4.059
1061,1.636
1062,1.204
1063,4.481
1064,0.464
1065,0.278
1066,0.28
1067,2.559
1068,2.264
1069,4.882
107,24.373
1070,0.186
1071,0.288
1072,0.643
1073,3.463
1074,3.84
1075,1.643
1076,2.33
1077,1.39
1078,4.794
1079,2.044
108,24.341
1080,5.285
1081,0.429
1082,5.471
1083,3.586
1084,0.812
1085,0.392
1086,1.012
1087,2.179
1088,1.361
1089,0.686
109,19.349
1090,3.194
1091,0.475
1092,0.401
1093,0.929
1094,3.061
1095,1.838
1096,4.651
1097,2.505
1098,0.13
1099,4.225
11,17.284
110,26.493
1100,2.56
1101,0.246
1102,1.018
1103,7.216
1104,4.071
1105,4.632
1106,0.192
1107,2.231
1108,0.428
1109,4.588
111,37.163
1110,5.288
1111,3.306
1112,1.57
1113,4.432
1114,6.345
1115,0.236
1116,0.342
1117,4.191
1118,0.25
1119,0.222
112,10.102
1120,4.029
1121,1.515
1122,5.228
1123,4.39
1124,5.293
1125,5.695
1126,6.658
1127,7.325
1128,4.212
1129,0.157
113,39.242
1130,5.134
1131,6.502
1132,6.897
1133,7.039
1134,4.347
1135,4.968
1136,0.299
1137,4.711
1138,0.188
1139,5.44
114,16.298
1140,5.1
1141,1.848
1142,4.16
1143,2.148
1144,5.67
1145,0.248
1146,4.455
1147,1.74
1148,4.109
1149,4.008
115,1.403
1150,4.325
1151,8.02
1152,2.429
1153,2.591
1154,5.67
1155,6.069
1156,8.395
1157,3.461
1158,3.248
1159,6.933
116,2.243
1160,6.315
1161,1.039
1162,2.157
1163,5.232
1164,6.643
1165,2.268
1166,4.92
1167,2.495
1168,3.658
1169,3.059
117,23.539
1170,7.622
1171,3.385
1172,3.086
1173,0.586
1174,6.82
1175,3.306
1176,4.915
1177,0.924
1178,5.769
1179,0.352
118,25.805
1180,0.442
1181,1.518
1182,1.675
1183,4.464
1184,6.915
1185,8.776
1186,3.1
1187,5.765
1188,1.238
1189,4.446
119,8.053
1190,5.489
1191,0.287
1192,6.818
1193,5.932
1194,7.825
1195,2.682
1196,5.103
1197,5.357
1198,6.904
1199,6.033
12,35.338
120,44.681
1200,9.979
1201,5.013
1202,2.264
1203,6.298
1204,0.282
1205,7.565
1206,3.138
1207,5.395
1208,1.04
1209,5.788
121,25.794
1210,3.462
1211,5.259
1212,8.835
1213,3.884
1214,0.468
1215,2.703
1216,7.785
1217,3.275
1218,6.662
1219,1.18
122,1.041
1220,1.892
1221,3.608
1222,6.691
1223,0.246
1224,0.168
1225,1.147
1226,8.702
1227,1.689
1228,7.898
1229,8.645
123,2.658
1230,0.46
1231,0.351
1232,5.043
1233,4.51
1234,2.303
1235,4.639
1236,0.324
1237,3.452
1238,6.6
1239,2.26
124,9.989
1240,3.048
1241,3.353
1242,0.505
1243,1.216
1244,9.74
1245,1.756
1246,2.131
1247,0.621
1248,2.819
1249,1.039
125,14.341
1250,0.406
1251,0.466
1252,4.988
1253,0.399
1254,6.961
1255,4.435
1256,0.476
1257,0.523
1258,5.038
1259,4.246
126,23.464
1260,6.189
1261,0.319
1262,1.245
1263,0.107
1264,0.112
1265,1.431
1266,0.257
1267,1.124
1268,0.32
1269,1.609
127,20.833
1270,1.728
1271,0.175
1272,3.543
1273,0.862
1274,5.654
1275,3.035
1276,3.4
1277,0.549
