File Name,Max Deformation X,X,Y,Z
1,0.10081,1477.6,30.15,0.0
10,0.089157,1.5,82.55,0.0
100,0.039874,-1098.4,30.15,0.0
1000,0.036231,-1703.4,-50.8,0.0
1001,0.020935,-1295.8,50.8,0.0
1002,0.028735,1409.6,50.8,0.0
1003,0.010227,15.175,114.3,0.0
1004,0.021385,41.5,114.3,0.0
1005,0.022334,41.5,114.3,0.0
1006,0.012165,-23.9,107.95,0.0
1007,0.029441,-23.9,107.95,0.0
1008,0.012883,23.9,107.95,0.0
1009,0.033543,-1653.5,50.8,0.0
101,0.12991,-31.8,82.55,0.0
1010,0.031396,-1958.6,50.8,0.0
1011,0.012553,8.675,114.3,0.0
1012,0.018817,-1170.4,-50.8,0.0
1013,0.0095711,30.2,-114.3,0.0
1014,0.024316,1405.7,-50.8,0.0
1015,0.0091499,30.2,-114.3,0.0
1016,0.0030483,-41.5,114.3,0.0
1017,0.00069675,407.68,50.8,0.0
1018,0.0082044,41.5,114.3,0.0
1019,0.012619,1083.9,50.8,0.0
102,0.03238,-953.03,30.15,0.0
1020,0.0085586,934.16,50.8,0.0
1021,0.018104,23.9,107.95,0.0
1022,0.0081431,23.9,107.95,0.0
1023,0.018915,23.9,107.95,0.0
1024,0.0016864,-23.9,107.95,0.0
1025,0.0053032,-918.74,50.8,0.0
1026,0.00085637,-30.2,-114.3,0.0
1027,0.014066,8.675,114.3,0.0
1028,0.0044894,-15.85,-114.3,0.0
1029,0.01637,-1581.0,50.8,0.0
103,0.020595,-31.8,82.55,0.0
1030,0.0022909,30.2,-114.3,0.0
1031,0.0067602,41.5,114.3,0.0
1032,0.004819,-803.64,50.8,0.0
1033,0.027636,-2170.1,50.8,0.0
1034,0.010942,1120.6,50.8,0.0
1035,0.01858,-41.5,114.3,0.0
1036,0.026358,-2142.5,50.8,0.0
1037,0.0073841,1.5,107.95,0.0
1038,0.0017867,487.8,50.8,0.0
1039,0.0034935,620.59,50.8,0.0
104,0.015142,-31.8,82.55,0.0
1040,0.0010236,23.9,107.95,0.0
1041,0.0094218,-1027.1,-50.8,0.0
1042,0.010087,-1.5,114.3,0.0
1043,0.0079332,30.2,-114.3,0.0
1044,0.011712,30.2,-114.3,0.0
1045,0.0035037,-636.99,-50.8,0.0
1046,0.0060895,41.5,114.3,0.0
1047,0.013865,1444.9,50.8,0.0
1048,0.0022016,41.5,114.3,0.0
1049,0.0083792,892.86,50.8,0.0
105,0.1094,12.75,82.55,0.0
1050,0.0029284,41.5,114.3,0.0
1051,0.02491,23.9,107.95,0.0
1052,0.021431,1606.3,50.8,0.0
1053,0.010946,-1298.2,50.8,0.0
1054,0.021422,23.9,107.95,0.0
1055,0.0022386,23.9,107.95,0.0
1056,0.025682,1982.0,-50.8,0.0
1057,0.005318,651.7,-50.8,0.0
1058,0.012231,30.2,-114.3,0.0
1059,0.0010604,437.57,-50.8,0.0
106,0.17685,2168.7,30.15,0.0
1060,0.0086358,-962.57,-50.8,0.0
1061,0.0017128,578.79,50.8,0.0
1062,0.011933,-41.5,114.3,0.0
1063,0.011815,1303.8,50.8,0.0
1064,0.0011304,-41.5,114.3,0.0
1065,0.0020484,-41.5,114.3,0.0
1066,0.00066802,23.9,107.95,0.0
1067,0.014734,23.9,107.95,0.0
1068,0.0031105,699.28,50.8,0.0
1069,0.018685,-1320.7,50.8,0.0
107,0.048546,974.43,30.15,0.0
1070,0.0026162,-23.9,107.95,0.0
1071,0.0055588,-30.2,114.3,0.0
1072,0.0052772,30.2,114.3,0.0
1073,0.016243,30.2,-114.3,0.0
1074,0.010373,30.2,-114.3,0.0
1075,0.0085568,-30.2,114.3,0.0
1076,0.016169,41.5,114.3,0.0
1077,0.011085,15.175,114.3,0.0
1078,0.013802,-1250.1,50.8,0.0
1079,0.0052488,41.5,114.3,0.0
108,0.08006,19.1,76.2,0.0
1080,0.016496,-1435.6,50.8,0.0
1081,0.0024041,23.9,107.95,0.0
1082,0.0261,1967.7,50.8,0.0
1083,0.010698,-1212.9,50.8,0.0
1084,0.018852,23.9,107.95,0.0
1085,0.0056272,-23.9,107.95,0.0
1086,0.009538,-30.2,114.3,0.0
1087,0.013804,-30.2,114.3,0.0
1088,0.0010149,-423.46,-49.526,11.304
1089,0.00040666,224.35,50.8,0.0
109,0.030479,-747.08,30.15,0.0
1090,0.019423,8.675,114.3,0.0
1091,0.0032044,-41.5,114.3,0.0
1092,0.0016237,-41.5,114.3,0.0
1093,0.014452,41.5,114.3,0.0
1094,0.017637,41.5,114.3,0.0
1095,0.0069306,41.5,114.3,0.0
1096,0.016989,1277.9,50.8,0.0
1097,0.0040894,-684.12,50.8,0.0
1098,6.1066e-05,-23.9,107.95,0.0
1099,0.014917,23.9,107.95,0.0
11,0.023836,796.88,30.15,0.0
110,0.12231,10.3,76.2,0.0
1100,0.023334,23.9,107.95,0.0
1101,0.005767,30.2,-114.3,0.0
1102,0.0074186,30.2,-114.3,0.0
1103,0.024576,1974.5,-50.8,0.0
1104,0.012277,1052.3,50.8,0.0
1105,0.010588,-1122.0,-50.8,0.0
1106,0.00040946,41.5,114.3,0.0
1107,0.0068485,-41.5,114.3,0.0
1108,0.0073467,-41.5,114.3,0.0
1109,0.014544,-1105.2,50.8,0.0
111,0.12248,1651.6,30.15,0.0
1110,0.016387,1527.5,50.8,0.0
1111,0.024547,23.9,107.95,0.0
1112,0.0022315,-23.9,107.95,0.0
1113,0.013039,1522.7,50.8,0.0
1114,0.028311,-2303.3,50.8,0.0
1115,0.0056325,1.5,107.95,0.0
1116,0.013081,-1.5,114.3,0.0
1117,0.02037,8.675,114.3,0.0
1118,0.0002493,7.24,114.3,0.0
1119,0.0010337,-15.85,-114.3,0.0
112,0.0090901,-548.96,30.15,0.0
1120,0.0079426,929.04,-50.8,0.0
1121,0.003063,-41.5,114.3,0.0
1122,0.026353,-41.5,114.3,0.0
1123,0.025242,-41.5,114.3,0.0
1124,0.022552,-41.5,114.3,0.0
1125,0.021713,-1526.4,50.8,0.0
1126,0.030325,-2120.7,50.8,0.0
1127,0.036027,-2508.9,50.8,0.0
1128,0.017368,-23.9,107.95,0.0
1129,0.0060605,-23.9,107.95,0.0
113,0.13159,1834.6,30.15,0.0
1130,0.018276,-1487.7,50.8,0.0
1131,0.022364,1442.1,-50.8,0.0
1132,0.024382,-1641.8,-50.8,0.0
1133,0.025411,1627.2,-50.8,0.0
1134,0.014511,8.675,114.3,0.0
1135,0.024077,8.675,114.3,0.0
1136,0.006097,6.4,114.3,0.0
1137,0.013043,1278.0,50.8,0.0
1138,0.0076509,15.175,114.3,0.0
1139,0.017655,-1472.3,50.8,0.0
114,0.085045,22.4,82.55,0.0
1140,0.025407,41.5,114.3,0.0
1141,0.001259,-493.88,-53.943,18.875
1142,0.0095721,909.36,-57.15,0.0
1143,0.021151,7.1,114.3,0.0
1144,0.015785,-1569.1,-57.15,0.0
1145,0.0021181,-23.9,-114.3,0.0
1146,0.026925,-31.8,127.0,0.0
1147,0.0036397,31.8,-127.0,0.0
1148,0.019913,31.8,-127.0,0.0
1149,0.01665,-31.8,127.0,0.0
115,0.069973,-22.4,82.55,0.0
1150,0.013646,-1221.2,57.15,0.0
1151,0.026181,1816.5,-57.15,0.0
1152,0.021415,15.925,136.55,0.0
1153,0.013583,15.925,136.55,0.0
1154,0.012763,-1241.1,-57.15,0.0
1155,0.015591,1230.2,-57.15,0.0
1156,0.028671,1846.4,-57.15,0.0
1157,0.0032351,559.48,-57.15,0.0
1158,0.019313,23.9,-114.3,0.0
1159,0.016938,1656.1,-57.15,0.0
116,0.0023326,-31.8,82.55,0.0
