File Name,Max Deformation Y,X,Y,Z
1,7.5297,-408.36,0.0,30.15
10,2.0262,-1683.3,6.709,29.394
100,1.8801,102.93,0.0,30.15
1000,1.8986,444.28,10.346,45.329
1001,0.84037,420.15,0.0,50.8
1002,1.3389,-604.57,11.304,49.526
1003,0.13202,-1489.1,10.346,45.329
1004,0.60721,-636.26,0.0,50.8
1005,0.38473,-1010.6,0.0,50.8
1006,0.22657,588.36,0.0,50.8
1007,0.74835,1004.1,0.0,50.8
1008,0.17952,-838.12,0.0,50.8
1009,1.7182,484.97,0.0,50.8
101,4.3574,760.92,6.0565,26.535
1010,1.6037,157.62,10.346,45.329
1011,0.21645,-606.33,11.304,-49.526
1012,0.69998,348.73,0.0,-50.8
1013,0.096995,1219.9,0.0,-50.8
1014,1.038,-328.82,20.173,41.891
1015,0.10095,455.71,0.0,-50.8
1016,0.024136,413.89,0.0,50.8
1017,0.0082827,-88.196,44.989,2.5265
1018,0.08164,-755.79,0.0,50.8
1019,0.40261,-237.19,0.0,50.8
102,1.3693,117.25,6.709,29.394
1020,0.22782,-213.24,0.0,50.8
1021,0.45543,-875.14,0.0,50.8
1022,0.19148,-501.41,0.0,50.8
1023,0.37931,-1262.4,0.0,50.8
1024,0.028329,-1660.8,0.0,50.8
1025,0.13034,184.82,0.0,50.8
1026,0.017837,-1969.6,0.0,-50.8
1027,0.34752,-703.17,0.0,50.8
1028,0.051141,-1283.2,0.0,-50.8
1029,0.69552,274.65,0.0,50.8
103,0.19904,497.78,0.0,30.15
1030,0.040129,1788.8,0.0,-50.8
1031,0.13625,-451.88,11.304,49.526
1032,0.11323,244.28,0.0,50.8
1033,1.5212,210.35,9.9556,43.618
1034,0.38245,-403.38,0.0,50.8
1035,0.33691,1182.3,0.0,-50.8
1036,1.418,135.08,9.9556,43.618
1037,0.11026,-1576.6,9.9556,43.618
1038,0.026798,-145.88,0.0,50.8
1039,0.068681,-211.74,0.0,50.8
104,0.13958,798.79,0.0,30.15
1040,0.0051601,-489.03,0.0,50.8
1041,0.29105,81.0,0.0,-50.8
1042,0.14992,-1677.1,10.855,-47.557
1043,0.1339,1977.2,0.0,-50.8
1044,0.14268,884.89,0.0,50.8
1045,0.069806,81.0,0.0,-50.8
