File Name,Max Deformation Z,X,Y,Z
1,0.0006091,3042.0,-18.798,-23.572
10,0.00025514,1187.3,-21.319,21.319
100,0.00035825,-2094.5,21.319,21.319
1000,0.08306,444.28,50.481,5.6878
1001,0.00022655,-2694.2,35.921,35.921
1002,0.0002717,3035.1,35.921,-35.921
1003,8.6116e-05,775.03,-35.921,35.921
1004,0.00020662,2155.1,31.673,-39.717
1005,0.0001765,1527.5,31.673,-39.717
1006,0.00014561,-1455.7,31.673,-39.717
1007,0.0002175,-2103.7,31.673,39.717
1008,0.00013034,1159.8,-31.673,-39.717
1009,0.00028698,-3484.1,35.921,35.921
101,0.00053659,-2025.0,21.319,21.319
1010,0.00026693,-3787.7,35.921,35.921
1011,0.0056316,-30.2,-114.3,0.0
1012,0.038897,305.07,50.8,0.0
1013,0.0091221,1219.9,50.8,0.0
1014,0.057659,-328.82,50.8,0.0
1015,0.0052327,30.2,-114.3,0.0
1016,5.4266e-05,-661.13,31.673,-39.717
1017,2.5398e-05,776.4,-31.673,-39.717
1018,9.8356e-05,825.54,31.673,-39.717
1019,0.00016583,2238.5,31.673,39.717
102,0.0003215,-1854.0,21.319,21.319
1020,0.00013511,1842.5,31.673,39.717
1021,0.00013543,2092.0,31.673,-39.717
1022,0.00010449,1680.6,31.673,-39.717
1023,0.00011105,1732.6,-31.673,39.717
1024,1.8052e-05,433.39,31.673,-39.717
1025,9.1153e-05,-1723.0,31.673,39.717
1026,0.00096951,-1969.6,45.769,22.041
1027,0.012914,-662.23,-39.717,-31.673
1028,0.00026354,-1283.2,39.717,31.673
1029,0.00016471,-3010.8,31.673,39.717
103,0.00017011,-592.59,21.319,21.319
1030,0.0014664,1788.8,45.769,22.041
1031,9.1537e-05,1500.2,31.673,-39.717
1032,8.5594e-05,-1568.7,31.673,39.717
1033,0.00021609,-4077.9,-35.921,35.921
1034,0.00013599,2315.2,31.673,39.717
1035,0.00011356,-1643.4,39.717,31.673
1036,0.00020654,-4038.2,35.921,35.921
1037,5.5666e-05,825.42,-39.717,31.673
1038,5.019e-05,964.17,31.673,-39.717
1039,7.2839e-05,1251.9,-39.717,31.673
104,0.00013063,-395.33,18.798,23.572
1040,2.1675e-05,294.97,31.673,39.717
1041,0.01877,208.84,50.8,0.0
1042,0.00096075,-1677.1,-39.717,31.673
1043,0.00031533,30.2,114.3,0.0
1044,0.0011806,-30.2,-114.3,0.0
1045,0.0037693,30.2,114.3,0.0
1046,7.4358e-05,856.41,31.673,-39.717
1047,0.00014712,2815.1,39.717,31.673
1048,3.3602e-05,387.25,31.673,39.717
1049,0.00012153,1877.2,31.673,39.717
105,0.00052654,2124.5,21.319,-21.319
1050,2.7474e-05,-514.79,31.673,39.717
1051,0.00019464,2976.0,35.921,-35.921
1052,0.00019145,3276.3,35.921,-35.921
1053,0.0001339,-2478.5,31.673,39.717
1054,0.00012508,1705.9,31.673,-39.717
1055,2.1454e-05,-496.18,31.673,39.717
1056,0.05928,-144.67,49.526,11.304
1057,0.0086291,-256.47,50.8,0.0
1058,0.0025719,829.97,50.481,5.6878
1059,0.002873,30.2,114.3,0.0
106,0.000861,4240.8,18.798,-23.572
1060,0.017086,81.0,50.8,0.0
1061,4.5713e-05,1078.0,31.673,-39.717
1062,9.2891e-05,-1087.8,35.921,35.921
1063,0.00013783,2580.1,31.673,-39.717
1064,2.227e-05,-398.86,31.673,39.717
1065,3.2497e-05,-376.2,31.673,39.717
1066,1.5498e-05,293.45,35.921,35.921
1067,0.00012752,1651.7,31.673,-39.717
1068,6.5181e-05,1337.3,-39.717,31.673
1069,0.00017856,-2830.9,39.717,31.673
107,0.00041724,2027.7,21.319,-21.319
1070,3.6224e-05,-451.65,35.921,35.921
1071,5.7233e-05,-647.47,31.673,39.717
1072,0.0027396,-1092.6,50.481,-5.6878
1073,0.012621,644.97,50.8,0.0
1074,0.014423,380.67,50.8,0.0
1075,8.7163e-05,-1031.3,31.673,39.717
1076,0.00012815,1442.9,31.673,-39.717
1077,9.4559e-05,1043.7,35.921,35.921
1078,0.00015215,-2574.1,31.673,39.717
1079,7.6261e-05,1082.0,31.673,39.717
108,0.00048012,2015.1,21.319,-21.319
1080,0.00016291,-2903.1,35.921,35.921
1081,2.2795e-05,-511.71,39.717,31.673
1082,0.0002125,3803.5,-35.921,-35.921
1083,0.00013382,-2408.6,31.673,39.717
1084,9.9523e-05,1604.2,31.673,-39.717
1085,4.1766e-05,764.85,-39.717,31.673
1086,7.533e-05,-1130.3,-35.921,35.921
1087,0.00011346,-1690.0,31.673,39.717
1088,0.0057311,30.2,-114.3,0.0
1089,2.1658e-05,421.11,-39.717,31.673
109,0.00032519,-1585.3,21.319,21.319
1090,0.013436,-901.22,39.717,31.673
1091,2.7465e-05,563.19,31.673,-39.717
1092,1.6151e-05,431.12,39.717,31.673
1093,9.0227e-05,1342.9,31.673,-39.717
1094,0.00013873,2133.6,31.673,-39.717
1095,7.9394e-05,1196.9,-39.717,31.673
1096,0.00017044,2736.1,39.717,31.673
1097,7.8162e-05,-1409.7,-35.921,35.921
1098,3.3567e-06,-304.91,31.673,-39.717
1099,0.00016079,2476.5,31.673,-39.717
11,0.00028207,1556.2,18.798,-23.572
110,0.00055237,2260.2,21.319,-21.319
1100,0.0001499,1974.4,31.673,-39.717
1101,0.0026358,1110.3,49.526,-11.304
1102,0.0023767,743.56,50.8,0.0
1103,0.059068,-30.2,114.3,0.0
1104,0.00014643,2283.7,31.673,-39.717
1105,0.02258,81.0,50.8,0.0
1106,9.4879e-06,275.63,35.921,35.921
1107,8.6756e-05,-1169.4,31.673,39.717
1108,5.3765e-05,758.15,31.673,39.717
1109,0.00016066,-2434.8,39.717,31.673
111,0.00067037,3391.8,18.798,-23.572
1110,0.00016081,2981.6,39.717,-31.673
1111,0.00016427,2296.2,39.717,-31.673
1112,5.4733e-05,-869.16,31.673,39.717
1113,0.00014389,2829.5,39.717,-31.673
1114,0.00021377,-4234.5,35.921,35.921
1115,4.9717e-05,727.22,31.673,-39.717
1116,0.00049821,-30.2,-114.3,0.0
1117,0.021043,-795.4,50.481,5.6878
1118,9.6999e-06,365.01,31.673,39.717
1119,0.00032318,-1178.1,49.526,-11.304
112,0.00015381,-1059.0,18.798,23.572
1120,0.016428,-171.21,50.8,0.0
1121,5.6309e-05,-851.15,31.673,39.717
1122,0.00020017,-2933.9,35.921,35.921
1123,0.00018031,-2481.8,31.673,39.717
1124,0.00019425,-2942.8,35.921,35.921
1125,0.00019301,-3189.8,35.921,35.921
1126,0.00022403,-4105.3,35.921,35.921
1127,0.00023617,-4774.2,31.673,39.717
1128,0.00016578,-2449.1,31.673,39.717
1129,5.6223e-05,-734.71,31.673,39.717
113,0.00070118,3670.8,18.798,-23.572
1130,0.00017491,-3028.0,35.921,35.921
1131,0.047933,-475.3,50.8,0.0
1132,0.054571,307.83,50.481,5.6878
1133,0.056471,-433.1,50.481,5.6878
1134,0.020189,-616.21,50.8,0.0
1135,0.02893,-810.1,50.8,0.0
1136,5.5576e-05,667.35,31.673,-39.717
1137,0.00014668,2554.5,39.717,-31.673
1138,6.3579e-05,744.27,31.673,39.717
1139,0.00016984,-2979.9,35.921,35.921
114,0.00041965,1466.7,21.319,-21.319
1140,0.00019303,2733.1,35.921,-35.921
1141,0.010512,23.9,-114.3,0.0
1142,0.01496,-423.39,51.49,24.796
1143,0.0051445,-1389.3,-44.682,-35.632
1144,0.026263,76.2,-53.703,19.546
1145,0.0005725,-1196.0,44.682,35.632
1146,0.00021261,-2833.5,40.411,-40.411
1147,7.0455e-05,938.45,35.632,-44.682
1148,0.00018296,2527.3,-35.632,-44.682
1149,0.00017257,-2412.4,35.632,44.682
115,0.0002581,-911.52,21.319,21.319
1150,0.00017288,-2535.3,35.632,-44.682
1151,0.065256,-393.02,51.49,24.796
1152,0.0090969,-1285.7,44.682,35.632
1153,0.010639,-942.88,54.25,12.382
1154,0.034164,101.6,-57.15,0.0
1155,0.038686,-433.59,51.49,24.796
1156,0.052617,-384.83,55.717,12.717
1157,0.0040494,-23.9,-114.3,0.0
1158,0.0060336,1072.2,55.717,12.717
1159,0.032932,-23.9,114.3,0.0
116,3.8823e-05,-376.66,18.798,23.572
1160,0.026656,308.21,55.717,12.717
1161,4.8315e-05,-671.51,-35.632,-44.682
1162,9.734e-05,1119.9,-40.411,40.411
1163,0.00015933,-2849.7,35.632,44.682
1164,0.00021213,3742.6,-40.411,-40.411
1165,0.00013088,-1337.0,-35.632,-44.682
1166,0.010411,44.5,136.55,0.0
1167,0.008672,-567.87,57.15,0.0
1168,0.0039999,-44.5,-136.55,0.0
1169,0.0032072,-44.5,-136.55,0.0
117,0.0005189,-1827.3,21.319,21.319
1170,0.050196,425.05,57.15,0.0
1171,0.00014007,1782.2,35.632,-44.682
1172,0.0041802,-23.9,-114.3,0.0
1173,0.0017675,-23.9,-114.3,0.0
1174,0.035951,548.0,55.717,12.717
1175,0.0045249,-23.9,-114.3,0.0
1176,0.00014899,2622.4,40.411,40.411
1177,2.7135e-05,-737.26,-35.632,-44.682
1178,0.00019062,3142.0,40.411,-40.411
1179,1.4332e-05,-269.92,35.632,44.682
118,0.00049777,1938.5,21.319,-21.319
1180,8.3428e-05,-923.41,-40.411,40.411
1181,0.0056512,-44.5,-136.55,0.0
1182,0.0004059,-136.71,0.0,52.635
1183,0.00828,44.5,-136.55,0.0
1184,0.042826,-712.93,57.15,0.0
1185,0.070004,44.5,136.55,0.0
1186,0.003667,-23.9,-114.3,0.0
1187,0.018791,-212.4,57.15,0.0
1188,0.0040003,957.4,55.717,-12.717
1189,0.010332,709.02,56.791,6.3988
119,0.00017243,680.09,-18.798,-23.572
1190,0.016604,-308.12,57.15,0.0
1191,1.5907e-05,-352.94,35.632,44.682
1192,0.0002168,3744.6,40.411,-40.411
1193,0.00018719,3221.9,40.411,-40.411
1194,0.0002483,-4287.9,40.411,40.411
1195,0.00014032,-1453.5,-35.632,-44.682
1196,0.014522,-649.67,57.15,0.0
1197,0.013879,44.5,136.55,0.0
1198,0.034613,44.5,136.55,0.0
1199,0.025762,-638.29,57.15,0.0
12,0.00063798,-3527.9,-18.798,23.572
120,0.00070033,3710.6,18.798,-23.572
1200,0.090579,44.5,136.55,0.0
1201,0.020965,-433.1,51.49,24.796
1202,0.0064495,586.18,51.49,24.796
1203,0.033055,471.66,50.134,24.143
1204,0.00051829,-1613.6,40.411,40.411
1205,0.046715,340.16,-48.39,-30.406
1206,0.00014627,-1954.3,35.632,44.682
1207,0.00020125,3457.6,40.411,40.411
1208,4.3373e-05,561.84,-40.411,40.411
1209,0.00022135,-3571.0,40.411,40.411
121,0.0006995,-4502.0,-18.798,23.572
1210,0.00011918,-1945.2,35.632,44.682
1211,0.029432,101.6,-57.15,0.0
1212,0.078203,101.6,56.052,11.149
1213,0.01897,537.82,55.717,12.717
1214,0.0018931,1415.2,51.49,24.796
1215,0.012214,673.79,55.717,12.717
1216,0.043693,76.2,57.15,0.0
1217,0.0040611,-23.9,-114.3,0.0
1218,0.030401,222.82,55.717,12.717
1219,0.0044737,698.08,55.717,-12.717
122,2.2891e-05,321.48,23.572,18.798
1220,0.0043286,455.27,55.717,-12.717
1221,0.00011226,1826.9,35.632,-44.682
1222,0.00021329,3797.6,-40.411,-40.411
1223,4.0689e-05,-427.99,40.411,40.411
1224,4.7204e-06,-430.02,35.632,44.682
1225,7.6016e-05,-765.12,35.632,-44.682
1226,0.067946,-463.0,57.15,0.0
1227,0.0070313,-44.5,136.55,0.0
1228,0.052248,-44.5,136.55,0.0
1229,0.065445,-273.31,57.15,0.0
123,0.00022538,1378.1,-23.572,18.798
1230,0.0013433,1691.1,51.49,-24.796
1231,0.00079913,-1667.6,56.791,-6.3988
1232,0.014718,-23.9,114.3,0.0
1233,0.012664,474.92,56.791,6.3988
1234,0.0027457,-23.9,-114.3,0.0
1235,0.011727,-23.9,-114.3,0.0
1236,7.8743e-05,-855.4,35.632,-44.682
1237,0.00013108,-1676.0,-44.682,-35.632
1238,0.00022342,3598.6,40.411,-40.411
1239,0.000154,1612.8,35.632,-44.682
124,0.0002516,-1597.3,23.572,18.798
1240,0.00010329,-1504.1,-35.632,-44.682
1241,0.0040937,-44.5,-136.55,0.0
1242,0.0022737,2131.3,56.791,6.3988
1243,0.0042652,1487.1,55.717,-12.717
1244,0.089053,-290.9,57.15,0.0
1245,0.0048378,-1061.3,57.15,0.0
1246,0.002126,-23.9,-114.3,0.0
1247,0.0032,1207.0,51.49,-24.796
1248,0.0072754,23.9,114.3,0.0
1249,0.0013493,-555.65,57.15,0.0
125,0.00037728,-2464.0,21.319,21.319
1250,0.0023044,1342.3,48.39,-30.406
1251,2.556e-05,-457.21,-44.682,-35.632
1252,0.0001686,-2485.2,35.632,44.682
1253,5.2496e-05,-612.66,35.632,44.682
1254,0.0002181,-3898.4,40.411,40.411
1255,0.00018018,2197.3,40.411,-40.411
1256,0.0010491,1849.8,51.49,-24.796
1257,0.0055259,-1370.2,56.791,-6.3988
1258,0.010568,44.5,136.55,0.0
1259,0.0045522,-44.5,-136.55,0.0
