File Name,Max Deformation,X,Y,Z
0,137.67,-3964.0,30.15,0.0
1,136.19,-3964.0,30.15,0.0
10,20.245,-4701.0,30.15,0.0
100,45.248,-2123.0,30.15,0.0
1000,52.866,-3633.0,50.8,0.0
1001,25.354,-2733.0,50.8,0.0
1002,21.8,-4651.0,50.8,0.0
1003,1.0938,-4157.0,50.8,0.0
1004,8.9655,-3904.0,50.8,0.0
1005,4.4892,-4135.0,50.8,0.0
1006,9.9384,-1491.0,50.8,0.0
1007,35.246,-2143.0,50.8,0.0
1008,2.0293,-3266.0,50.8,0.0
1009,49.026,-3535.0,50.8,0.0
101,193.59,-2058.0,30.15,0.0
1010,37.76,-3840.0,50.8,0.0
1011,2.7558,-3147.0,50.8,0.0
1012,20.458,-2543.0,50.8,0.0
1013,12.772,-751.0,50.8,0.0
1014,18.043,-3960.0,50.8,0.0
1015,4.9361,-1091.0,50.8,0.0
1016,2.1178,-696.0,50.8,0.0
1017,0.31902,-989.0,50.8,0.0
1018,0.9504,-2869.0,50.8,0.0
1019,7.6436,-2857.0,50.8,0.0
102,34.413,-1879.0,30.15,0.0
1020,4.3633,-2402.0,50.8,0.0
1021,6.3944,-4011.0,50.8,0.0
1022,2.9783,-2762.0,50.8,0.0
1023,4.5785,-4417.0,50.8,0.0
1024,0.24105,-3757.0,50.8,0.0
1025,3.4077,-1758.0,50.8,0.0
1026,0.14791,-4268.0,50.8,0.0
1027,4.9213,-3528.0,50.8,0.0
1028,0.47281,-3283.0,50.8,0.0
1029,17.934,-3073.0,50.8,0.0
103,16.814,-615.0,30.15,0.0
1030,13.398,-541.0,50.8,0.0
1031,2.1314,-2480.0,50.8,0.0
1032,3.2836,-1602.0,50.8,0.0
1033,36.609,-4134.0,50.8,0.0
1034,6.7544,-3188.0,50.8,0.0
1035,19.84,-1686.0,50.8,0.0
1036,32.582,-4094.0,50.8,0.0
1037,0.98851,-4186.0,50.8,0.0
1038,0.52624,-1341.0,50.8,0.0
1039,1.2024,-1843.0,50.8,0.0
104,23.666,-419.0,30.15,0.0
1040,0.051913,-1487.0,50.8,0.0
1041,7.9378,-2154.0,50.8,0.0
1042,1.2981,-4573.0,50.8,0.0
1043,24.897,-868.0,50.8,0.0
1044,9.6613,-1167.0,50.8,0.0
1045,1.9137,-1331.0,50.8,0.0
1046,0.71599,-2647.0,50.8,0.0
1047,10.89,-3246.0,50.8,0.0
1048,0.13785,-2335.0,50.8,0.0
1049,4.058,-2920.0,50.8,0.0
105,61.99,-3875.0,30.15,0.0
1050,19.088,-554.0,50.8,0.0
1051,16.292,-4870.0,50.8,0.0
1052,18.415,-4281.0,50.8,0.0
1053,9.5391,-2517.0,50.8,0.0
1054,4.8524,-4886.0,50.8,0.0
1055,16.728,-535.0,50.8,0.0
1056,26.484,-4314.0,50.8,0.0
1057,1.892,-2321.0,50.8,0.0
1058,9.4605,-1269.0,50.8,0.0
1059,0.3041,-949.0,50.8,0.0
106,340.35,-4872.0,30.15,0.0
1060,6.9571,-2069.0,50.8,0.0
1061,0.64895,-1289.0,50.8,0.0
1062,13.301,-1131.0,50.8,0.0
1063,8.4088,-3037.0,50.8,0.0
1064,0.77554,-447.0,50.8,0.0
1065,2.0505,-426.0,50.8,0.0
1066,0.04878,-1285.0,50.8,0.0
1067,3.6871,-3746.0,50.8,0.0
1068,1.2492,-1593.0,50.8,0.0
1069,25.659,-2893.0,50.8,0.0
107,43.053,-2780.0,30.15,0.0
1070,2.8233,-493.0,50.8,0.0
1071,8.0653,-689.0,50.8,0.0
1072,0.44659,-3162.0,50.8,0.0
1073,14.067,-1825.0,50.8,0.0
1074,8.6245,-1892.0,50.8,0.0
1075,6.7523,-1089.0,50.8,0.0
1076,3.0219,-4100.0,50.8,0.0
1077,1.4289,-3751.0,50.8,0.0
1078,14.746,-2630.0,50.8,0.0
1079,1.0644,-2313.0,50.8,0.0
108,50.18,-3459.0,30.15,0.0
1080,18.469,-2945.0,50.8,0.0
1081,11.874,-551.0,50.8,0.0
1082,26.988,-4571.0,50.8,0.0
1083,9.8574,-2446.0,50.8,0.0
1084,4.1773,-4820.0,50.8,0.0
1085,0.7946,-3948.0,50.8,0.0
1086,7.7054,-1172.0,50.8,0.0
1087,11.596,-1731.0,50.8,0.0
1088,0.31693,-847.0,50.8,0.0
1089,0.051227,-613.0,50.8,0.0
109,36.805,-1608.0,30.15,0.0
1090,6.6375,-4102.0,50.8,0.0
1091,0.42847,-4027.0,50.8,0.0
1092,0.27452,-4429.0,50.8,0.0
1093,2.4962,-4055.0,50.8,0.0
1094,6.5039,-3877.0,50.8,0.0
1095,1.3522,-2456.0,50.8,0.0
1096,11.894,-4021.0,50.8,0.0
1097,2.5251,-1450.0,50.8,0.0
1098,0.052221,-350.0,50.8,0.0
1099,9.3062,-3896.0,50.8,0.0
11,17.572,-1867.0,30.15,0.0
110,74.925,-4184.0,30.15,0.0
1100,6.5256,-4758.0,50.8,0.0
1101,6.9998,-687.0,50.8,0.0
1102,5.2765,-871.0,50.8,0.0
1103,25.619,-4158.0,50.8,0.0
1104,7.0859,-3489.0,50.8,0.0
1105,9.0101,-2363.0,50.8,0.0
1106,0.042207,-1285.0,50.8,0.0
1107,4.7129,-1226.0,50.8,0.0
1108,0.96466,-4901.0,50.8,0.0
1109,18.251,-2491.0,50.8,0.0
111,183.86,-4196.0,30.15,0.0
1110,13.352,-3590.0,50.8,0.0
1111,9.113,-4726.0,50.8,0.0
1112,1.1022,-908.0,50.8,0.0
1113,10.53,-3046.0,50.8,0.0
1114,35.741,-4293.0,50.8,0.0
1115,0.6591,-3632.0,50.8,0.0
1116,1.9576,-4977.0,50.8,0.0
1117,7.4008,-4327.0,50.8,0.0
1118,0.055504,-957.0,50.8,0.0
1119,0.087263,-2955.0,-50.8,0.0
112,6.1916,-1080.0,30.15,0.0
1120,4.0195,-2573.0,50.8,0.0
1121,1.6427,-891.0,50.8,0.0
1122,37.667,-2979.0,50.8,0.0
1123,31.34,-2543.0,50.8,0.0
1124,32.97,-2988.0,50.8,0.0
1125,29.835,-3236.0,50.8,0.0
1126,43.042,-4162.0,50.8,0.0
1127,51.421,-4807.0,50.8,0.0
1128,21.792,-2506.0,50.8,0.0
1129,9.7446,-779.0,50.8,0.0
113,220.3,-4200.0,30.15,0.0
1130,21.887,-3072.0,50.8,0.0
1131,17.159,-4503.0,50.8,0.0
1132,32.177,-3495.0,50.8,0.0
1133,21.751,-4676.0,50.8,0.0
1134,5.8288,-3779.0,-50.8,0.0
1135,10.268,-4748.0,50.8,0.0
1136,0.63544,-4199.0,50.8,0.0
1137,8.9075,-3323.0,50.8,0.0
1138,0.83103,-4316.0,50.8,0.0
1139,20.613,-3023.0,50.8,0.0
114,25.267,-3454.0,30.15,0.0
1140,13.652,-4860.0,50.8,0.0
1141,0.45475,-957.0,57.15,0.0
1142,4.4067,-3104.0,57.15,0.0
1143,5.344,-4875.0,57.15,0.0
1144,14.202,-3056.0,57.15,0.0
1145,0.18681,-2896.0,57.15,0.0
1146,31.526,-2877.0,57.15,0.0
1147,0.54925,-1842.0,57.15,0.0
1148,8.8781,-4258.0,57.15,0.0
1149,16.872,-2455.0,57.15,0.0
115,218.05,-933.0,30.15,0.0
1150,14.883,-2578.0,57.15,0.0
1151,22.308,-4674.0,57.15,0.0
1152,3.8639,-4615.0,57.15,0.0
1153,2.1621,-3598.0,57.15,0.0
1154,11.15,-2603.0,57.15,0.0
1155,9.2933,-3833.0,57.15,0.0
1156,24.578,-4924.0,57.15,0.0
1157,0.86949,-1701.0,-57.15,0.0
1158,19.682,-1803.0,57.15,0.0
1159,13.104,-3504.0,57.15,0.0
116,1.935,-395.0,30.15,0.0
1160,15.553,-2789.0,57.15,0.0
1161,1.5588,-707.0,57.15,0.0
1162,1.138,-2833.0,57.15,0.0
1163,10.507,-2894.0,57.15,0.0
1164,20.414,-3901.0,57.15,0.0
1165,11.818,-1374.0,57.15,0.0
1166,3.2554,-2107.0,57.15,0.0
1167,0.62337,-2639.0,57.15,0.0
1168,10.468,-1524.0,57.15,0.0
1169,2.9109,-4791.0,57.15,0.0
117,174.72,-1857.0,30.15,0.0
1170,23.942,-3045.0,57.15,0.0
1171,3.4144,-3292.0,57.15,0.0
1172,0.60251,-1662.0,57.15,0.0
1173,0.1257,-2419.0,57.15,0.0
1174,30.847,-3218.0,57.15,0.0
1175,0.88445,-1377.0,57.15,0.0
1176,7.4189,-2963.0,57.15,0.0
1177,0.42531,-769.0,57.15,0.0
1178,12.918,-3609.0,57.15,0.0
1179,6.1373,-311.0,57.15,0.0
118,48.66,-3650.0,30.15,0.0
1180,15.02,-963.0,57.15,0.0
1181,1.8592,-342.0,-57.15,0.0
1182,0.41372,-1213.0,57.15,0.0
1183,2.7676,-1815.0,57.15,0.0
1184,10.858,-4730.0,57.15,0.0
1185,22.534,-3928.0,57.15,0.0
1186,0.87885,-2377.0,-57.15,0.0
1187,6.1001,-3044.0,57.15,0.0
1188,6.3501,-899.0,57.15,0.0
1189,14.084,-1950.0,57.15,0.0
119,2.9594,-1848.0,30.15,0.0
1190,5.2124,-3127.0,57.15,0.0
1191,0.76116,-399.0,57.15,0.0
1192,20.873,-4023.0,57.15,0.0
1193,13.472,-3532.0,57.15,0.0
1194,35.111,-4347.0,57.15,0.0
1195,12.343,-1491.0,57.15,0.0
1196,4.2275,-3902.0,57.15,0.0
1197,5.3212,-2129.0,57.15,0.0
1198,9.4621,-3025.0,57.15,0.0
1199,6.5039,-4160.0,57.15,0.0
12,193.48,-3552.0,30.15,0.0
120,225.54,-4202.0,30.15,0.0
1200,36.565,-4159.0,57.15,0.0
1201,7.9189,-3591.0,-57.15,0.0
1202,5.0747,-1389.0,57.15,0.0
1203,28.73,-3434.0,57.15,0.0
1204,0.78507,-4166.0,57.15,0.0
1205,40.385,-4154.0,57.15,0.0
1206,12.454,-1999.0,57.15,0.0
1207,15.875,-3550.0,57.15,0.0
1208,0.15038,-1399.0,57.15,0.0
1209,22.277,-3620.0,57.15,0.0
121,355.03,-4533.0,30.15,0.0
1210,4.5439,-1987.0,57.15,0.0
1211,6.6575,-2394.0,57.15,0.0
1212,34.184,-4418.0,57.15,0.0
1213,8.6595,-1840.0,57.15,0.0
1214,6.8576,-570.0,-57.15,0.0
1215,7.0449,-1460.0,57.15,0.0
1216,23.019,-3699.0,57.15,0.0
1217,0.70513,-1719.0,57.15,0.0
