File Name,HotSpotStress
1,40.902
10,14.768
100,17.036
1000,8.495
1001,4.958
1002,8.497
1003,2.109
1004,6.412
1005,4.809
1006,2.557
1007,3.994
1008,3.736
1009,7.78
101,12.606
1010,8.514
1011,4.464
1012,3.951
1013,1.094
1014,7.905
1015,1.005
1016,1.004
1017,1.464
1018,2.695
1019,4.531
102,14.261
1020,3.498
1021,4.848
1022,3.86
1023,3.976
1024,0.648
1025,3.446
1026,0.369
1027,4.731
1028,1.323
1029,5.898
103,4.196
1030,0.562
1031,3.491
1032,3.092
1033,7.922
1034,5.035
1035,3.211
1036,7.081
1037,1.626
1038,1.913
1039,2.594
104,3.674
1040,0.726
1041,2.736
1042,1.88
1043,0.588
1044,0.972
1045,1.236
1046,2.056
1047,4.494
1048,0.854
1049,3.611
105,29.435
1050,0.618
1051,6.568
1052,6.677
1053,4.381
1054,3.819
1055,0.608
1056,7.253
1057,2.934
1058,1.177
1059,0.967
106,46.572
1060,2.845
1061,1.671
1062,1.239
1063,4.352
1064,0.691
1065,0.629
1066,0.817
1067,3.774
1068,2.298
1069,4.828
107,24.354
1070,0.577
1071,0.693
1072,1.307
1073,1.718
1074,1.941
1075,1.116
1076,3.263
1077,2.33
1078,3.274
1079,2.404
108,27.65
1080,3.798
1081,0.79
1082,7.843
1083,4.903
1084,3.567
1085,1.495
1086,2.147
1087,3.41
1088,1.187
1089,0.76
109,13.233
1090,5.213
1091,0.947
1092,0.573
1093,3.07
1094,4.959
1095,2.962
1096,5.79
1097,2.228
1098,0.584
1099,5.369
11,20.476
110,31.9
1100,4.499
1101,0.552
1102,0.556
1103,6.731
1104,4.522
1105,3.176
1106,0.822
1107,1.22
1108,1.34
1109,3.239
111,32.478
1110,5.011
1111,5.289
1112,1.401
1113,5.118
1114,7.58
1115,1.448
1116,2.293
1117,5.169
1118,0.713
1119,0.409
112,6.348
1120,3.622
1121,1.078
1122,4.377
1123,3.533
1124,4.428
1125,4.924
1126,7.173
1127,8.208
1128,4.056
1129,0.89
113,32.479
1130,5.16
1131,6.47
1132,5.252
1133,6.945
1134,4.553
1135,5.674
1136,1.205
1137,4.298
1138,1.414
1139,3.922
114,19.547
1140,5.75
1141,1.514
1142,5.242
1143,5.161
1144,6.765
1145,0.947
1146,5.936
1147,2.471
1148,6.051
1149,5.08
115,1.707
1150,5.317
1151,9.289
1152,4.699
1153,3.922
1154,5.322
1155,6.925
1156,8.707
1157,2.098
1158,2.016
1159,6.153
116,3.698
1160,4.676
1161,0.836
1162,2.772
1163,4.035
1164,5.841
1165,1.473
1166,1.932
1167,2.158
1168,1.043
1169,3.778
117,8.573
1170,3.589
1171,4.238
1172,2.081
1173,0.861
1174,6.138
1175,1.673
1176,4.045
1177,1.037
1178,5.585
1179,0.541
118,25.394
1180,1.034
1181,1.054
1182,2.128
1183,1.609
