File Name,Max Deformation Y,X,Y,Z
0,0.6411,-932.0,36.5,0.0
1,136.19,-3964.0,30.15,0.0
10,20.245,-4701.0,30.15,0.0
100,45.246,-2123.0,30.15,0.0
1000,52.865,-3633.0,50.8,0.0
1001,25.353,-2733.0,50.8,0.0
1002,21.8,-4651.0,50.8,0.0
1003,1.0937,-4157.0,50.8,0.0
1004,8.9649,-3904.0,50.8,0.0
1005,4.4889,-4135.0,50.8,0.0
1006,9.9372,-1491.0,50.8,0.0
1007,35.244,-2143.0,50.8,0.0
1008,2.0291,-3266.0,50.8,0.0
1009,49.024,-3535.0,50.8,0.0
101,193.59,-2058.0,30.15,0.0
1010,37.758,-3840.0,50.8,0.0
1011,2.7555,-3147.0,0.0,-50.8
1012,20.457,-2543.0,50.8,0.0
1013,12.77,-751.0,50.8,0.0
1014,18.042,-3960.0,50.8,0.0
1015,4.9353,-1091.0,0.0,-50.8
1016,2.1171,-696.0,50.8,0.0
1017,0.31883,-989.0,50.8,0.0
1018,0.95024,-2869.0,50.8,0.0
1019,7.643,-2857.0,50.8,0.0
102,34.411,-1879.0,30.15,0.0
1020,4.3628,-2402.0,50.8,0.0
1021,6.394,-4011.0,50.8,0.0
1022,2.978,-2762.0,50.8,0.0
1023,4.5782,-4417.0,50.8,0.0
1024,0.24102,-3757.0,50.8,0.0
1025,3.4071,-1758.0,50.8,0.0
1026,0.14787,-4268.0,50.8,0.0
1027,4.9209,-3528.0,50.8,0.0
1028,0.47272,-3283.0,50.8,0.0
1029,17.933,-3073.0,50.8,0.0
103,16.812,-615.0,30.15,0.0
1030,13.397,-541.0,50.8,0.0
1031,2.1311,-2480.0,50.8,0.0
1032,3.2831,-1602.0,50.8,0.0
1033,36.608,-4134.0,50.8,0.0
1034,6.7539,-3188.0,50.8,0.0
1035,19.838,-1686.0,50.8,0.0
1036,32.581,-4094.0,50.8,0.0
1037,0.98841,-4186.0,50.8,0.0
1038,0.52603,-1341.0,50.8,0.0
1039,1.2021,-1843.0,50.8,0.0
104,23.663,-419.0,30.15,0.0
1040,0.051875,-1487.0,50.8,0.0
1041,7.9371,-2154.0,50.8,0.0
1042,1.298,-4573.0,50.8,0.0
1043,24.895,-868.0,50.8,0.0
1044,9.6602,-1167.0,50.8,0.0
1045,1.9133,-1331.0,0.0,-50.8
1046,0.71585,-2647.0,50.8,0.0
1047,10.889,-3246.0,50.8,0.0
1048,0.13781,-2335.0,50.8,0.0
1049,4.0576,-2920.0,50.8,0.0
105,61.989,-3875.0,30.15,0.0
1050,19.086,-554.0,50.8,0.0
1051,16.292,-4870.0,50.8,0.0
1052,18.414,-4281.0,50.8,0.0
1053,9.5384,-2517.0,50.8,0.0
1054,4.8521,-4886.0,50.8,0.0
1055,16.727,-535.0,50.8,0.0
1056,26.483,-4314.0,50.8,0.0
1057,1.8918,-2321.0,0.0,-50.8
1058,9.4595,-1269.0,0.0,-50.8
1059,0.30393,-949.0,0.0,-50.8
106,340.35,-4872.0,30.15,0.0
1060,6.9564,-2069.0,50.8,0.0
1061,0.64871,-1289.0,50.8,0.0
1062,13.299,-1131.0,50.8,0.0
1063,8.4082,-3037.0,50.8,0.0
1064,0.77506,-447.0,50.8,0.0
1065,2.0498,-426.0,50.8,0.0
1066,0.048736,-1285.0,50.8,0.0
1067,3.6868,-3746.0,50.8,0.0
1068,1.2489,-1593.0,50.8,0.0
1069,25.658,-2893.0,50.8,0.0
107,43.052,-2780.0,30.15,0.0
1070,2.8225,-493.0,50.8,0.0
1071,8.0641,-689.0,50.8,0.0
1072,0.44651,-3162.0,0.0,-50.8
1073,14.066,-1825.0,50.8,0.0
1074,8.6237,-1892.0,50.8,0.0
1075,6.7514,-1089.0,50.8,0.0
1076,3.0216,-4100.0,50.8,0.0
1077,1.4288,-3751.0,50.8,0.0
1078,14.745,-2630.0,50.8,0.0
1079,1.0642,-2313.0,50.8,0.0
108,50.178,-3459.0,30.15,0.0
1080,18.468,-2945.0,50.8,0.0
1081,11.873,-551.0,50.8,0.0
1082,26.987,-4571.0,50.8,0.0
1083,9.8567,-2446.0,50.8,0.0
1084,4.177,-4820.0,50.8,0.0
1085,0.79451,-3948.0,50.8,0.0
1086,7.7044,-1172.0,50.8,0.0
1087,11.595,-1731.0,50.8,0.0
1088,0.31672,-847.0,0.0,-50.8
1089,0.05113,-613.0,50.8,0.0
109,36.803,-1608.0,30.15,0.0
1090,6.637,-4102.0,50.8,0.0
1091,0.42842,-4027.0,50.8,0.0
1092,0.27449,-4429.0,50.8,0.0
1093,2.496,-4055.0,50.8,0.0
1094,6.5035,-3877.0,50.8,0.0
1095,1.352,-2456.0,50.8,0.0
1096,11.893,-4021.0,50.8,0.0
1097,2.5246,-1450.0,50.8,0.0
1098,0.052093,-350.0,-50.8,0.0
1099,9.3057,-3896.0,50.8,0.0
11,17.571,-1867.0,30.15,0.0
110,74.923,-4184.0,30.15,0.0
1100,6.5252,-4758.0,50.8,0.0
1101,6.9987,-687.0,50.8,0.0
1102,5.2757,-871.0,0.0,-50.8
1103,25.618,-4158.0,50.8,0.0
1104,7.0854,-3489.0,50.8,0.0
1105,9.0094,-2363.0,50.8,0.0
1106,0.042168,-1285.0,50.8,0.0
1107,4.7121,-1226.0,50.8,0.0
1108,0.96458,-4901.0,50.8,0.0
1109,18.25,-2491.0,50.8,0.0
111,183.86,-4196.0,30.15,0.0
1110,13.351,-3590.0,50.8,0.0
1111,9.1126,-4726.0,50.8,0.0
1112,1.1018,-908.0,50.8,0.0
1113,10.529,-3046.0,50.8,0.0
1114,35.74,-4293.0,50.8,0.0
1115,0.65902,-3632.0,50.8,0.0
1116,1.9575,-4977.0,50.8,0.0
1117,7.4004,-4327.0,0.0,-50.8
1118,0.055437,-957.0,50.8,0.0
1119,0.087216,-2955.0,0.0,-50.8
112,6.1907,-1080.0,30.15,0.0
1120,4.0191,-2573.0,50.8,0.0
1121,1.6422,-891.0,50.8,0.0
1122,37.666,-2979.0,50.8,0.0
1123,31.338,-2543.0,50.8,0.0
1124,32.969,-2988.0,50.8,0.0
1125,29.834,-3236.0,50.8,0.0
1126,43.041,-4162.0,50.8,0.0
1127,51.419,-4807.0,50.8,0.0
1128,21.791,-2506.0,50.8,0.0
1129,9.7433,-779.0,50.8,0.0
113,220.3,-4200.0,30.15,0.0
1130,21.886,-3072.0,50.8,0.0
1131,17.158,-4503.0,50.8,0.0
1132,32.176,-3495.0,50.8,0.0
1133,21.75,-4676.0,50.8,0.0
1134,5.8284,-3779.0,0.0,-50.8
1135,10.268,-4748.0,0.0,-50.8
1136,0.63537,-4199.0,50.8,0.0
1137,8.9069,-3323.0,50.8,0.0
1138,0.83096,-4316.0,50.8,0.0
1139,20.613,-3023.0,50.8,0.0
114,25.266,-3454.0,30.15,0.0
1140,13.651,-4860.0,50.8,0.0
1141,0.45446,-957.0,0.0,-57.15
1142,4.4062,-3104.0,57.15,0.0
1143,5.3437,-4875.0,0.0,-57.15
1144,14.201,-3056.0,57.15,0.0
1145,0.18673,-2896.0,57.15,0.0
1146,31.524,-2877.0,57.15,0.0
1147,0.54905,-1842.0,57.15,0.0
1148,8.8775,-4258.0,57.15,0.0
1149,16.871,-2455.0,57.15,0.0
115,218.04,-933.0,30.15,0.0
1150,14.882,-2578.0,57.15,0.0
1151,22.307,-4674.0,57.15,0.0
1152,3.8636,-4615.0,57.15,0.0
1153,2.1618,-3598.0,57.15,0.0
1154,11.149,-2603.0,57.15,0.0
1155,9.2927,-3833.0,0.0,-57.15
1156,24.577,-4924.0,57.15,0.0
1157,0.86922,-1701.0,0.0,-57.15
1158,19.68,-1803.0,57.15,0.0
1159,13.103,-3504.0,57.15,0.0
116,1.9342,-395.0,30.15,0.0
1160,15.552,-2789.0,57.15,0.0
1161,1.5581,-707.0,57.15,0.0
1162,1.1378,-2833.0,57.15,0.0
1163,10.507,-2894.0,57.15,0.0
1164,20.413,-3901.0,57.15,0.0
1165,11.817,-1374.0,57.15,0.0
1166,3.255,-2107.0,0.0,-57.15
1167,0.62322,-2639.0,0.0,-57.15
1168,10.466,-1524.0,57.15,0.0
1169,2.9106,-4791.0,57.15,0.0
117,174.72,-1857.0,30.15,0.0
1170,23.941,-3045.0,57.15,0.0
1171,3.414,-3292.0,57.15,0.0
1172,0.60229,-1662.0,0.0,-57.15
1173,0.12563,-2419.0,0.0,-57.15
1174,30.846,-3218.0,57.15,0.0
1175,0.88413,-1377.0,0.0,-57.15
1176,7.4182,-2963.0,57.15,0.0
1177,0.425,-769.0,57.15,0.0
1178,12.917,-3609.0,57.15,0.0
1179,6.1358,-311.0,57.15,0.0
118,48.659,-3650.0,30.15,0.0
1180,15.018,-963.0,57.15,0.0
1181,1.8583,-342.0,-57.15,0.0
1182,0.41351,-1213.0,57.15,0.0
1183,2.7671,-1815.0,57.15,0.0
1184,10.857,-4730.0,57.15,0.0
1185,22.533,-3928.0,57.15,0.0
1186,0.87864,-2377.0,0.0,-57.15
1187,6.0996,-3044.0,0.0,-57.15
1188,6.349,-899.0,57.15,0.0
1189,14.083,-1950.0,57.15,0.0
119,2.959,-1848.0,30.15,0.0
1190,5.2118,-3127.0,57.15,0.0
1191,0.76058,-399.0,57.15,0.0
1192,20.872,-4023.0,57.15,0.0
1193,13.471,-3532.0,57.15,0.0
1194,35.11,-4347.0,57.15,0.0
1195,12.342,-1491.0,57.15,0.0
1196,4.2271,-3902.0,57.15,0.0
1197,5.3206,-2129.0,0.0,-57.15
1198,9.4614,-3025.0,57.15,0.0
1199,6.5035,-4160.0,0.0,-57.15
12,193.48,-3552.0,30.15,0.0
120,225.54,-4202.0,30.15,0.0
1200,36.563,-4159.0,57.15,0.0
1201,7.9182,-3591.0,57.15,0.0
1202,5.0738,-1389.0,57.15,0.0
1203,28.729,-3434.0,57.15,0.0
1204,0.78496,-4166.0,57.15,0.0
1205,40.384,-4154.0,0.0,-57.15
1206,12.452,-1999.0,57.15,0.0
1207,15.874,-3550.0,57.15,0.0
1208,0.15026,-1399.0,57.15,0.0
1209,22.276,-3620.0,57.15,0.0
121,355.03,-4533.0,30.15,0.0
1210,4.5432,-1987.0,57.15,0.0
1211,6.6567,-2394.0,57.15,0.0
1212,34.183,-4418.0,57.15,0.0
1213,8.6585,-1840.0,57.15,0.0
1214,6.8562,-570.0,57.15,0.0
1215,7.0439,-1460.0,57.15,0.0
1216,23.018,-3699.0,57.15,0.0
1217,0.7049,-1719.0,0.0,-57.15
1218,15.78,-3025.0,57.15,0.0
1219,2.8881,-694.0,57.15,0.0
122,1.1045,-4581.0,30.15,0.0
1220,2.1236,-805.0,57.15,0.0
1221,2.8384,-2393.0,57.15,0.0
1222,21.102,-3907.0,57.15,0.0
1223,3.1504,-470.0,57.15,0.0
1224,0.080405,-465.0,12.717,55.717
1225,4.4198,-810.0,57.15,0.0
1226,18.595,-4846.0,57.15,0.0
1227,0.11282,-1149.0,0.0,-57.15
1228,13.645,-3850.0,57.15,0.0
1229,18.078,-4305.0,57.15,0.0
123,20.203,-4331.0,30.15,0.0
1230,9.1977,-434.0,-57.15,0.0
1231,0.11525,-3694.0,57.15,0.0
1232,4.3353,-2419.0,57.15,0.0
1233,9.887,-1983.0,57.15,0.0
1234,0.98551,-2930.0,0.0,-57.15
1235,3.0396,-2382.0,57.15,0.0
1236,14.257,-907.0,57.15,0.0
1237,6.9999,-1714.0,57.15,0.0
