File Name,Max Deformation,X,Y,Z
1,15.631,2834.0,30.15,0.0
10,44.566,476.0,30.15,0.0
100,1.7544,997.0,30.15,0.0
1000,0.33867,614.0,50.8,0.0
1001,1.0656,846.0,50.8,0.0
1002,1.9048,1326.0,50.8,0.0
1003,0.99712,1472.0,50.8,0.0
1004,0.28796,1476.0,50.8,0.0
1005,2.2985,1327.0,50.8,0.0
1006,2.4171,1999.0,50.8,0.0
1007,0.11587,547.0,50.8,0.0
1008,0.49553,1467.0,50.8,0.0
1009,0.35468,1287.0,50.8,0.0
101,35.714,813.0,30.15,0.0
1010,2.3441,968.0,50.8,0.0
1011,0.57602,1695.0,50.8,0.0
1012,3.137,1159.0,50.8,0.0
1013,0.70361,1228.0,50.8,0.0
1014,1.0858,1120.0,50.8,0.0
1015,0.2369,620.0,50.8,0.0
1016,0.066102,982.0,50.8,0.0
1017,0.2915,1640.0,50.8,0.0
1018,0.34056,390.0,50.8,0.0
1019,0.11384,1274.0,50.8,0.0
102,85.013,2200.0,30.15,0.0
1020,0.37004,1030.0,50.8,0.0
1021,0.27885,836.0,50.8,0.0
1022,0.29561,340.0,50.8,0.0
1023,0.58327,893.0,50.8,0.0
1024,0.94312,1321.0,50.8,0.0
1025,0.1799,873.0,50.8,0.0
1026,0.58157,762.0,50.8,0.0
1027,1.4896,1183.0,50.8,0.0
1028,0.61685,961.0,50.8,0.0
1029,1.7095,1571.0,50.8,0.0
103,53.772,1624.0,30.15,0.0
1030,0.28682,847.0,-50.8,0.0
1031,1.4448,651.0,50.8,0.0
1032,0.93521,515.0,50.8,0.0
1033,2.1062,1393.0,50.8,0.0
1034,0.35119,1333.0,50.8,0.0
1035,0.34945,336.0,50.8,0.0
1036,0.023388,572.0,50.8,0.0
1037,0.27326,604.0,50.8,0.0
1038,1.1422,1591.0,50.8,0.0
1039,1.8731,694.0,50.8,0.0
104,22.7,514.0,30.15,0.0
1040,1.3466,434.0,50.8,0.0
1041,0.60813,661.0,50.8,0.0
1042,0.8687,1076.0,50.8,0.0
1043,0.45404,979.0,50.8,0.0
1044,0.064074,1799.0,-50.8,0.0
1045,1.0158,755.0,50.8,0.0
1046,1.1933,624.0,50.8,0.0
1047,0.089571,1314.0,50.8,0.0
1048,0.02325,652.0,50.8,0.0
1049,0.40217,1377.0,50.8,0.0
105,2.4768,343.0,30.15,0.0
1050,0.62323,581.0,50.8,0.0
1051,0.53629,1012.0,50.8,0.0
1052,2.5523,1936.0,50.8,0.0
1053,1.2286,739.0,50.8,0.0
1054,0.89593,333.0,50.8,0.0
1055,0.073134,486.0,50.8,0.0
1056,0.50109,1204.0,-50.8,0.0
1057,1.6007,1318.0,50.8,0.0
1058,1.3458,1703.0,50.8,0.0
1059,0.038332,756.0,-49.526,-11.304
106,14.637,841.0,30.15,0.0
1060,0.05454,1526.0,50.8,0.0
1061,0.2036,1337.0,50.8,0.0
1062,0.86863,1097.0,50.8,0.0
1063,0.27026,1025.0,50.8,0.0
1064,0.046222,1145.0,50.8,0.0
1065,0.20573,312.0,50.8,0.0
1066,2.2525,1494.0,50.8,0.0
1067,1.9103,1065.0,50.8,0.0
1068,0.65345,1342.0,50.8,0.0
1069,0.44876,398.0,50.8,0.0
107,52.231,1401.0,30.15,0.0
1070,0.10505,881.0,50.8,0.0
1071,0.58445,733.0,50.8,0.0
1072,0.19995,518.0,50.8,0.0
1073,0.12716,1744.0,50.8,0.0
1074,1.4995,834.0,50.8,0.0
1075,0.47409,972.0,50.8,0.0
1076,1.4917,807.0,50.8,0.0
1077,0.090687,1778.0,50.8,0.0
1078,0.1023,1003.0,50.8,0.0
1079,2.0739,1788.0,50.8,0.0
108,49.28,1224.0,30.15,0.0
1080,0.04465,596.0,50.8,0.0
1081,0.34584,492.0,50.8,0.0
1082,0.14617,939.0,50.8,0.0
1083,0.20239,1854.0,50.8,0.0
1084,0.56475,971.0,50.8,0.0
1085,0.33223,1238.0,50.8,0.0
1086,0.26184,828.0,-50.8,0.0
1087,0.61672,377.0,-50.8,0.0
1088,1.2143,915.0,50.8,0.0
1089,1.7108,1479.0,-50.8,0.0
109,55.144,2883.0,30.15,0.0
1090,0.46757,899.0,50.8,0.0
1091,0.51325,1597.0,50.8,0.0
1092,0.07209,906.0,50.8,0.0
1093,0.46831,1202.0,50.8,0.0
1094,1.1659,1799.0,50.8,0.0
1095,1.1435,1883.0,50.8,0.0
1096,0.82434,905.0,50.8,0.0
1097,0.055542,1676.0,50.8,0.0
1098,1.5094,1137.0,50.8,0.0
1099,1.7953,1535.0,50.8,0.0
11,11.99,407.0,30.15,0.0
110,5.8766,2967.0,30.15,0.0
1100,0.057275,1778.0,50.8,0.0
1101,0.047381,1069.0,-50.8,0.0
1102,0.15483,1388.0,50.8,0.0
1103,0.88979,780.0,50.8,0.0
1104,0.22942,669.0,50.8,0.0
1105,1.1764,1986.0,50.8,0.0
1106,0.090711,1130.0,50.8,0.0
1107,0.17183,1767.0,50.8,0.0
1108,0.27423,907.0,50.8,0.0
1109,0.045674,448.0,50.8,0.0
111,9.9176,2469.0,30.15,0.0
1110,0.17327,321.0,50.8,0.0
1111,0.58251,347.0,50.8,0.0
1112,1.8589,1925.0,50.8,0.0
1113,0.76499,1596.0,50.8,0.0
1114,1.1319,1060.0,50.8,0.0
1115,0.1891,1071.0,50.8,0.0
1116,0.67157,498.0,50.8,0.0
1117,1.3172,350.0,50.8,0.0
1118,1.3305,1892.0,50.8,0.0
1119,0.071526,842.0,-50.8,0.0
112,3.4291,1198.0,30.15,0.0
1120,1.8366,1378.0,50.8,0.0
1121,0.029843,696.0,50.8,0.0
1122,1.7322,885.0,50.8,0.0
1123,0.13851,1626.0,50.8,0.0
1124,0.10951,482.0,50.8,0.0
1125,1.3435,508.0,50.8,0.0
1126,0.88866,1375.0,50.8,0.0
1127,1.4527,1638.0,50.8,0.0
1128,0.090894,1543.0,50.8,0.0
1129,0.34665,1809.0,50.8,0.0
113,42.239,656.0,30.15,0.0
1130,0.13933,990.0,50.8,0.0
1131,0.21445,786.0,50.8,0.0
1132,0.69521,1401.0,50.8,0.0
1133,0.24852,352.0,-50.8,0.0
1134,1.1407,851.0,50.8,0.0
1135,0.14247,758.0,50.8,0.0
1136,1.6108,794.0,50.8,0.0
1137,0.31972,1047.0,50.8,0.0
1138,2.4448,1461.0,50.8,0.0
1139,0.38777,1010.0,50.8,0.0
114,0.8511,1807.0,30.15,0.0
1140,1.8943,1446.0,50.8,0.0
1141,2.4355,1744.0,57.15,0.0
1142,0.50988,1673.0,57.15,0.0
1143,1.5478,1730.0,57.15,0.0
1144,2.2683,1939.0,57.15,0.0
1145,0.024403,858.0,-57.15,0.0
1146,0.28356,912.0,57.15,0.0
1147,0.52425,1225.0,57.15,0.0
1148,0.96518,1050.0,57.15,0.0
1149,0.22512,854.0,57.15,0.0
115,0.63914,1967.0,30.15,0.0
1150,2.3445,1526.0,57.15,0.0
1151,0.17693,401.0,-57.15,0.0
1152,0.26275,399.0,-56.791,-6.3988
1153,0.20485,1245.0,57.15,0.0
1154,0.52003,395.0,57.15,0.0
1155,0.94149,617.0,57.15,0.0
1156,1.2393,539.0,57.15,0.0
1157,0.59225,1761.0,57.15,0.0
1158,0.85942,339.0,-57.15,0.0
1159,2.429,1842.0,57.15,0.0
116,11.862,503.0,30.15,0.0
1160,0.18328,657.0,57.15,0.0
1161,0.038038,850.0,57.15,0.0
1162,0.96363,1616.0,57.15,0.0
1163,0.040461,1122.0,57.15,0.0
1164,0.12958,1086.0,57.15,0.0
1165,0.70049,688.0,57.15,0.0
1166,1.2514,1183.0,57.15,0.0
1167,1.5419,933.0,57.15,0.0
1168,0.66715,1030.0,57.15,0.0
1169,0.38662,870.0,57.15,0.0
117,3.4282,2425.0,30.15,0.0
1170,0.065299,1441.0,-56.791,-6.3988
1171,0.2058,868.0,57.15,0.0
1172,2.1695,1674.0,57.15,0.0
1173,1.4535,1779.0,57.15,0.0
1174,0.24271,547.0,-57.15,0.0
1175,0.084156,1737.0,-57.15,0.0
1176,0.18137,533.0,57.15,0.0
1177,0.59604,1189.0,57.15,0.0
1178,0.28241,1190.0,57.15,0.0
1179,0.30722,1367.0,57.15,0.0
118,13.316,2504.0,30.15,0.0
1180,0.21782,458.0,57.15,0.0
1181,0.97369,906.0,57.15,0.0
1182,0.0374,1271.0,-57.15,0.0
1183,0.20201,1692.0,57.15,0.0
1184,0.18379,970.0,57.15,0.0
1185,0.80761,1725.0,57.15,0.0
1186,0.39706,1252.0,57.15,0.0
1187,0.24922,1377.0,57.15,0.0
1188,0.60426,820.0,57.15,0.0
1189,1.3988,1468.0,57.15,0.0
119,54.887,1376.0,30.15,0.0
