File Name,Max Deformation,X,Y,Z
0,14.741,133.51,0.0,30.15
1,14.606,155.54,16.97,21.279
10,17.954,-375.58,12.233,25.403
100,4.8605,714.47,6.4915,28.441
1000,1.9817,384.69,11.304,49.526
1001,1.0673,560.93,0.0,50.8
1002,2.6864,-177.13,0.0,50.8
1003,1.8145,-303.38,10.346,45.329
1004,1.9478,142.15,0.0,50.8
1005,2.0621,-88.196,44.678,12.871
1006,0.37288,1009.1,0.0,-50.8
1007,0.76724,901.11,0.0,50.8
1008,1.2738,162.9,0.0,50.8
1009,1.8161,426.7,10.985,48.127
101,4.8159,809.77,6.274,27.488
1010,1.9769,238.11,11.304,49.526
1011,1.2704,81.0,0.0,-50.8
1012,0.96058,523.4,0.0,-50.8
1013,0.11627,1329.6,10.985,-48.127
1014,2.104,81.0,0.0,-50.8
1015,0.21385,1088.2,0.0,-50.8
1016,0.086176,1138.9,0.0,50.8
1017,0.093293,534.1,0.0,50.8
1018,0.88677,180.4,0.0,50.8
1019,1.1237,434.28,10.985,48.127
102,3.8545,746.15,6.274,27.488
1020,0.80093,565.56,0.0,50.8
1021,1.557,105.47,10.855,47.557
1022,0.78427,489.36,0.0,50.8
1023,1.8087,-178.06,20.288,42.129
1024,1.0033,-373.68,0.0,50.8
1025,0.36708,922.23,0.0,50.8
1026,1.2907,-548.76,19.412,40.309
1027,1.2728,207.14,9.9556,43.618
1028,0.87385,-89.08,38.489,18.536
1029,0.99225,506.62,0.0,50.8
103,0.54738,1236.5,0.0,30.15
1030,0.0059793,1546.0,0.0,-50.8
1031,0.62432,498.99,0.0,50.8
1032,0.31176,945.69,0.0,50.8
1033,1.7265,210.35,0.0,50.8
1034,1.0441,396.79,0.0,50.8
1035,0.35818,1135.0,0.0,50.8
1036,1.6986,162.88,10.405,45.588
1037,1.4468,-293.36,10.855,47.557
1038,0.17096,569.46,0.0,50.8
1039,0.34872,584.52,0.0,50.8
104,0.27657,1497.2,0.0,30.15
1040,0.12077,155.54,0.0,50.8
1041,0.54666,713.17,0.0,50.8
1042,1.7993,-322.62,0.0,50.8
1043,0.089113,4988.0,50.8,0.0
1044,0.18836,1138.1,11.304,-49.526
1045,0.21693,879.15,0.0,-50.8
1046,0.58881,235.42,0.0,50.8
1047,1.0895,364.16,0.0,50.8
1048,0.35091,85.9,41.649,9.5061
1049,0.87523,379.3,0.0,50.8
105,13.889,142.11,21.279,16.97
1050,0.021387,4670.0,50.8,0.0
1051,2.2382,-250.57,11.304,49.526
1052,1.7807,18.975,0.0,50.8
1053,0.7061,639.91,0.0,50.8
1054,2.1827,-340.7,10.405,45.588
1055,0.009133,4471.0,50.8,0.0
1056,1.8782,81.0,0.0,50.8
1057,0.56533,478.59,0.0,50.8
1058,0.21825,1089.3,11.304,-49.526
1059,0.082097,576.97,0.0,-50.8
106,21.716,-193.85,11.809,24.522
1060,0.51031,734.87,0.0,50.8
1061,0.16285,636.19,11.304,49.526
1062,0.17929,1201.9,0.0,50.8
1063,0.96857,452.07,0.0,50.8
1064,0.029502,1132.2,0.0,50.8
1065,0.03002,1463.3,0.0,50.8
1066,0.085017,186.47,0.0,50.8
1067,1.3503,133.23,11.304,49.526
1068,0.27327,699.28,0.0,50.8
1069,0.93166,549.23,0.0,50.8
107,7.7395,477.03,6.4915,28.441
1070,0.038258,1470.6,0.0,50.8
1071,0.07446,1425.3,0.0,-50.8
1072,0.80722,81.0,0.0,-50.8
1073,0.40996,816.02,0.0,50.8
1074,0.43369,781.61,0.0,50.8
1075,0.1642,1144.5,10.855,47.557
1076,1.5357,-93.98,0.0,50.8
1077,1.2143,-93.98,0.0,50.8
1078,0.75341,558.6,0.0,50.8
1079,0.49196,371.32,0.0,50.8
108,11.382,252.9,21.279,16.97
1080,0.92307,455.18,0.0,50.8
1081,0.043119,1615.5,0.0,-50.8
1082,1.9975,-138.58,20.288,42.129
1083,0.66733,728.95,0.0,50.8
1084,2.0932,-388.64,11.304,49.526
1085,1.2535,-280.97,0.0,50.8
1086,0.18195,1239.6,0.0,50.8
1087,0.36437,1005.8,0.0,50.8
1088,0.071541,668.19,0.0,-50.8
1089,0.024202,359.62,0.0,50.8
109,2.9974,887.76,0.0,30.15
1090,1.675,81.0,0.0,50.8
1091,1.2072,-421.73,10.405,45.588
1092,1.3934,-570.83,0.0,50.8
1093,1.4728,-137.03,0.0,50.8
1094,1.4579,178.86,11.304,49.526
1095,0.57634,403.59,0.0,50.8
1096,1.5975,119.43,10.405,45.588
1097,0.25936,911.76,0.0,50.8
1098,0.0065179,470.67,0.0,50.8
1099,1.5086,156.18,10.405,45.588
11,3.5857,701.87,6.709,29.394
110,16.081,63.5,0.0,30.15
1100,2.1173,-238.98,21.165,43.949
1101,0.073955,1406.0,0.0,-50.8
1102,0.11327,1279.0,10.855,-47.557
1103,1.7622,81.0,0.0,50.8
1104,1.2322,286.1,9.9556,43.618
1105,0.64391,606.33,0.0,50.8
1106,0.072647,174.71,0.0,50.8
1107,0.19926,1039.5,0.0,50.8
1108,1.9154,-494.57,10.855,47.557
1109,0.69317,608.78,0.0,50.8
111,16.244,69.9,0.0,30.15
1110,1.3001,257.81,10.855,47.557
1111,2.1116,-190.11,21.165,43.949
1112,0.10518,985.43,0.0,50.8
1113,0.98386,469.55,0.0,50.8
1114,1.8558,108.04,10.405,45.588
1115,1.0624,-190.5,9.9556,43.618
1116,2.1712,-394.58,10.405,45.588
1117,1.8536,61.125,0.0,50.8
1118,0.047729,269.03,0.0,50.8
1119,0.58499,-146.4,0.0,50.8
112,1.1376,721.18,6.274,27.488
1120,0.72892,481.06,0.0,50.8
1121,0.10702,1070.6,11.304,49.526
1122,1.0731,729.49,19.412,40.309
1123,0.79459,814.09,0.0,50.8
1124,1.0284,585.77,11.304,49.526
1125,1.1371,471.89,0.0,50.8
1126,1.842,204.26,20.288,42.129
1127,2.4031,18.975,0.0,50.8
1128,0.71926,703.41,0.0,50.8
1129,0.090632,1394.8,0.0,50.8
113,16.326,73.81,0.0,30.15
1130,1.0127,464.23,0.0,50.8
1131,2.0082,-81.0,45.588,10.405
1132,1.3465,307.83,19.412,40.309
1133,2.148,-117.75,34.979,27.895
1134,1.4528,81.0,0.0,-50.8
1135,2.1977,-144.54,11.304,49.526
1136,1.3733,-350.54,0.0,50.8
1137,1.1323,315.98,11.304,49.526
1138,1.4867,-313.88,9.9556,43.618
1139,0.97096,422.98,0.0,50.8
114,10.706,175.11,11.809,24.522
1140,2.2196,-207.46,0.0,50.8
1141,0.08715,754.44,0.0,-57.15
1142,0.88928,377.63,0.0,57.15
1143,1.9518,-300.07,11.712,51.315
1144,0.88049,439.78,0.0,-57.15
1145,0.54312,-80.414,49.848,11.377
1146,0.35333,4902.0,57.15,0.0
1147,0.26713,448.35,0.0,57.15
1148,1.5061,-34.626,0.0,66.596
1149,0.58985,733.1,0.0,57.15
115,0.72983,4825.0,30.15,0.0
1150,0.63633,678.56,0.0,57.15
1151,1.8552,-107.62,51.315,11.712
1152,1.7443,-184.45,47.422,22.837
1153,1.0858,101.6,0.0,-57.15
1154,0.66337,607.57,0.0,-57.15
1155,1.3074,101.6,-57.15,0.0
1156,2.0544,-203.26,0.0,57.15
1157,0.2617,559.48,0.0,-57.15
1158,0.37466,1022.7,0.0,-57.15
1159,1.1244,257.1,22.837,47.422
116,0.11882,722.36,6.709,29.394
1160,0.75677,489.0,0.0,-57.15
1161,0.063117,1181.0,0.0,57.15
1162,0.63121,282.29,0.0,57.15
1163,0.77269,444.26,0.0,57.15
1164,1.3133,194.76,11.712,51.315
1165,0.21421,1020.4,0.0,57.15
1166,0.43755,596.72,0.0,-57.15
1167,0.52608,101.6,0.0,-57.15
1168,0.25512,877.78,0.0,-57.15
1169,1.8214,-209.43,51.315,11.712
117,3.9735,807.09,6.274,27.488
1170,0.90271,425.05,0.0,-57.15
1171,0.93966,299.82,0.0,57.15
1172,0.23563,506.06,0.0,-57.15
1173,0.36595,76.2,0.0,-57.15
1174,1.0504,489.78,11.712,51.315
1175,0.18374,704.11,0.0,-57.15
1176,0.80547,448.32,0.0,57.15
1177,0.052854,777.72,0.0,57.15
1178,1.1389,263.76,11.712,51.315
1179,0.013753,1675.5,0.0,-57.15
118,12.371,195.29,6.0565,26.535
1180,0.029079,1373.4,0.0,57.15
1181,0.019307,1513.2,0.0,-57.15
1182,0.10923,580.06,0.0,-57.15
1183,0.33618,708.06,0.0,-57.15
1184,1.8888,-107.62,55.717,12.717
1185,1.3831,101.6,0.0,-57.15
1186,0.46984,316.96,0.0,57.15
1187,0.87261,356.55,0.0,57.15
1188,0.10534,1294.0,0.0,-57.15
1189,0.40654,798.56,0.0,-57.15
119,2.4755,315.91,6.274,27.488
1190,0.90978,335.14,0.0,57.15
1191,0.020883,1164.5,0.0,57.15
1192,1.3852,143.37,11.712,51.315
1193,1.0951,268.26,0.0,57.15
1194,1.6741,151.79,11.712,51.315
1195,0.24421,982.77,0.0,57.15
1196,1.308,101.6,0.0,-57.15
1197,0.4535,620.33,0.0,-57.15
1198,0.85308,389.57,0.0,57.15
1199,1.4925,101.6,0.0,-57.15
12,12.059,313.94,6.0565,26.535
120,16.306,102.52,6.274,27.488
1200,1.6277,101.6,0.0,-57.15
1201,1.1641,245.74,22.837,47.422
1202,0.21793,1153.1,12.717,-55.717
1203,1.1305,416.03,11.712,51.315
1204,1.2646,-294.92,0.0,57.15
1205,1.6439,275.67,22.837,47.422
1206,0.40943,894.01,0.0,57.15
1207,1.1027,328.94,11.712,51.315
1208,0.12302,346.46,0.0,57.15
1209,1.1564,298.92,12.047,52.783
121,15.432,133.71,20.324,16.208
1210,0.40103,824.89,0.0,57.15
1211,0.57236,652.12,0.0,-57.15
1212,1.7564,101.6,0.0,57.15
1213,0.36224,872.16,0.0,-57.15
1214,0.042478,1552.8,0.0,-57.15
1215,0.24186,1027.6,0.0,-57.15
1216,1.2561,238.84,22.837,47.422
1217,0.25657,501.38,0.0,-57.15
1218,0.87168,410.28,0.0,-57.15
1219,0.065784,1365.3,0.0,-57.15
122,10.399,-700.71,20.324,16.208
1220,0.084679,1248.0,0.0,-57.15
1221,0.52894,561.53,0.0,57.15
1222,1.3189,190.74,23.49,48.778
1223,0.032549,1512.3,0.0,57.15
1224,0.0083035,539.95,0.0,-57.15
1225,0.085921,1275.0,0.0,-57.15
1226,1.9716,-137.23,46.067,22.184
1227,0.07488,101.6,0.0,-57.15
1228,1.3178,101.6,0.0,-57.15
1229,1.6045,101.6,0.0,-57.15
123,12.208,-208.02,6.709,29.394
1230,0.029955,1634.0,0.0,-57.15
1231,0.81035,-344.55,0.0,57.15
1232,0.57875,620.16,0.0,-57.15
1233,0.41455,767.11,0.0,-57.15
1234,0.69684,76.2,0.0,-57.15
1235,0.55114,569.22,0.0,-57.15
1236,0.043227,1399.4,0.0,57.15
1237,0.31135,850.42,0.0,57.15
