File Name,Frequency
0,46.2341
1,4.3985
10,6.3617
100,6.8842
1000,4.0331
1001,5.8476
1002,4.0484
1003,11.4832
1004,6.0868
1005,7.3246
1006,14.5934
1007,7.267
1008,13.0538
1009,4.4566
101,4.1819
1010,4.5503
1011,9.568
1012,6.2499
1013,19.3113
1014,4.5579
1015,18.7669
1016,30.9275
1017,34.6932
1018,13.2568
1019,6.7492
102,7.1682
1020,9.0044
1021,9.9257
1022,17.9878
1023,9.9324
1024,22.3369
1025,24.4257
1026,18.8519
1027,11.5389
1028,23.5482
1029,8.2357
103,23.2349
1030,18.6919
1031,20.5139
1032,24.6204
1033,4.9345
1034,11.263
1035,10.9631
1036,4.5498
1037,13.2189
1038,40.0214
1039,24.5643
104,28.4502
1040,75.3501
1041,10.0042
1042,9.8426
1043,11.571
1044,15.5084
1045,21.7615
1046,16.6169
1047,6.06
1048,30.4963
1049,8.8606
105,3.5297
1050,15.0065
1051,5.2235
1052,5.5715
1053,10.5156
1054,7.5924
1055,16.4772
1056,4.2794
1057,15.5294
1058,15.399
1059,49.3937
106,2.0145
1060,11.5292
1061,30.2328
1062,13.8795
1063,7.4718
1064,69.2638
1065,53.1506
1066,78.5951
1067,9.5464
1068,25.467
1069,6.1914
107,5.9069
1070,45.4744
1071,22.3866
1072,17.2344
1073,9.2386
1074,10.2569
1075,17.6928
1076,7.2208
1077,9.817
1078,6.1362
1079,14.7182
108,4.7954
1080,5.2516
1081,20.3089
1082,5.3725
1083,12.6774
1084,9.2228
1085,17.2165
1086,20.8444
1087,14.1575
1088,88.3266
1089,201.9678
109,9.4974
1090,9.1402
1091,18.1459
1092,16.6244
1093,12.2811
1094,9.6399
1095,23.9864
1096,6.4737
1097,23.4562
1098,184.7756
1099,7.1907
11,14.981
110,3.6658
1100,6.8271
1101,24.3809
1102,23.6557
1103,4.1872
1104,7.2688
1105,8.9498
1106,59.6773
1107,17.073
1108,9.5091
1109,6.4429
111,2.3251
1110,5.2792
1111,6.4591
1112,46.3414
1113,8.7902
1114,4.4144
1115,17.6787
1116,8.5331
1117,6.3984
1118,79.8554
1119,31.5795
112,17.1348
1120,11.4411
1121,31.9895
1122,4.7697
1123,5.7249
1124,4.9691
1125,4.8184
1126,3.9379
1127,3.3182
1128,7.29
1129,20.3198
113,2.2003
1130,6.251
1131,4.2186
1132,4.2467
1133,3.8098
1134,6.7142
1135,4.7649
1136,11.6919
1137,5.9042
1138,10.5519
1139,4.9841
114,4.9967
1140,3.9334
1141,79.3994
1142,14.8442
1143,9.1485
1144,9.8536
1145,37.6101
1146,7.089
1147,42.8089
1148,8.5411
1149,10.2019
115,6.8868
1150,10.4026
1151,5.361
1152,9.458
1153,14.0631
1154,10.6922
1155,8.4175
1156,4.374
1157,27.138
1158,10.0947
1159,6.9624
116,45.1326
1160,7.8898
1161,39.6948
1162,14.7561
1163,7.2902
1164,4.7441
1165,13.0467
1166,10.8665
1167,15.5218
1168,10.9635
1169,6.5305
117,4.0994
1170,4.8118
1171,12.1229
1172,33.3385
1173,41.2493
1174,5.9048
1175,34.1368
1176,8.5772
1177,54.0268
1178,6.2272
1179,35.1947
118,3.3669
1180,15.4637
1181,60.113
1182,31.4034
1183,13.9928
1184,4.6608
1185,4.293
1186,20.1773
1187,9.3014
1188,23.9301
1189,10.3243
119,12.9181
1190,9.5644
1191,71.0987
1192,4.3258
1193,5.4399
1194,3.4905
1195,11.4691
1196,6.1316
1197,8.8203
1198,5.7431
1199,5.132
12,3.9577
120,1.9064
1200,3.102
1201,10.7584
1202,25.1298
1203,6.8388
1204,17.5419
1205,5.2231
1206,13.1665
1207,8.0806
1208,80.9818
1209,7.0122
121,2.492
1210,19.6541
1211,13.5798
1212,4.8283
1213,15.0735
1214,29.2319
1215,19.0973
1216,5.5836
1217,28.6761
1218,7.3683
1219,39.3102
122,9.823
1220,38.9489
1221,12.356
1222,4.6913
1223,43.7233
1224,97.3421
1225,26.8581
1226,3.5829
1227,39.2967
1228,4.6448
1229,3.939
123,6.7563
1230,25.1047
1231,26.1314
1232,13.8969
1233,12.5479
1234,19.1143
1235,15.6762
1236,16.2926
1237,13.5328
1238,4.8989
1239,7.4433
124,12.81
1240,17.7447
1241,15.2289
1242,16.0504
1243,11.1213
1244,3.3511
1245,12.8015
1246,8.2685
1247,21.7474
1248,41.0402
1249,36.3168
125,5.4808
1250,23.8078
1251,17.1903
1252,7.2342
1253,18.0012
1254,4.2286
1255,6.0147
1256,19.552
1257,23.03
1258,9.5859
1259,10.8447
126,2.7223
1260,6.9846
1261,22.7781
