File Name,HotSpotStress
1,45.508
10,22.449
100,26.536
1000,11.49
1001,7.635
1002,12.486
1003,4.598
1004,9.869
1005,8.424
1006,3.279
1007,3.754
1008,6.282
1009,9.192
101,22.214
1010,10.649
1011,8.714
1012,8.519
1013,0.395
1014,13.6
1015,2.947
1016,1.283
1017,1.233
1018,4.309
1019,8.206
102,26.646
1020,6.744
1021,5.878
1022,4.448
1023,5.182
1024,0.905
1025,3.014
1026,0.602
1027,6.301
1028,2.341
1029,5.031
103,5.012
1030,0.535
1031,4.136
1032,2.806
1033,7.098
1034,5.617
1035,0.844
1036,7.61
1037,2.968
1038,2.299
1039,3.371
104,2.244
1040,0.512
1041,4.557
1042,4.302
1043,0.752
1044,0.748
1045,2.732
1046,3.116
1047,6.585
1048,0.924
1049,5.46
105,46.588
1050,0.545
1051,8.254
1052,7.83
1053,4.688
1054,5.806
1055,0.494
1056,9.378
1057,4.767
1058,0.991
1059,1.608
106,62.93
1060,4.315
1061,2.148
1062,0.499
1063,6.069
1064,0.408
1065,0.365
1066,0.365
1067,5.657
1068,3.053
1069,4.891
107,35.492
1070,0.369
1071,0.43
1072,2.924
1073,2.877
1074,3.743
1075,1.184
1076,5.682
1077,4.29
1078,5.333
1079,3.425
108,40.705
1080,5.992
1081,0.513
1082,7.862
1083,3.983
1084,4.767
1085,2.098
1086,0.508
1087,1.672
1088,1.617
1089,0.934
109,20.982
1090,7.011
1091,1.42
1092,0.842
1093,4.322
1094,6.064
1095,3.742
1096,7.283
1097,2.778
1098,0.146
1099,6.91
11,23.95
110,47.59
1100,6.663
1101,0.415
1102,0.464
1103,9.202
1104,6.312
1105,5.097
1106,0.211
1107,2.048
1108,3.026
1109,4.69
111,51.071
1110,7.217
1111,7.21
1112,1.583
1113,5.778
1114,7.838
1115,2.563
1116,4.797
1117,8.113
1118,0.322
1119,1.113
112,12.447
1120,5.58
1121,1.484
1122,4.959
1123,3.882
1124,5.216
1125,6.079
1126,7.641
1127,8.965
1128,3.952
1129,0.478
113,51.699
1130,5.61
1131,9.741
1132,7.422
1133,10.221
1134,7.53
1135,9.203
1136,2.71
1137,6.64
1138,3.135
1139,6.12
114,33.029
1140,8.684
1141,2.188
1142,6.743
1143,7.499
1144,6.304
1145,1.866
1146,3.841
1147,3.164
1148,7.469
1149,3.688
115,3.392
1150,4.314
1151,11.345
1152,7.814
1153,6.664
1154,5.964
1155,9.219
1156,11.897
1157,4.469
1158,2.043
1159,8.758
116,2.359
1160,6.558
1161,0.939
1162,4.262
1163,6.357
1164,8.459
1165,1.577
1166,5.827
1167,4.173
1168,2.958
1169,8.21
117,20.703
1170,7.893
1171,6.076
1172,4.226
1173,2.472
1174,6.542
1175,3.829
1176,6.393
1177,1.041
1178,7.713
1179,0.353
118,43.987
1180,0.506
1181,0.842
1182,2.075
1183,5.004
1184,11.486
1185,10.658
1186,5.147
1187,7.775
1188,0.514
1189,3.687
119,14.545
1190,7.828
1191,0.251
1192,8.793
1193,7.746
1194,9.44
1195,2.081
1196,8.85
1197,5.964
1198,8.447
1199,9.984
12,43.3
120,58.575
1200,11.443
1201,7.817
1202,1.593
1203,6.324
1204,2.995
1205,8.162
1206,2.64
1207,6.88
1208,2.149
1209,6.789
121,30.157
1210,3.854
1211,5.935
1212,10.549
1213,3.283
1214,0.651
1215,1.878
1216,8.979
1217,4.386
1218,7.278
1219,0.575
122,1.774
1220,1.277
1221,4.971
1222,8.471
1223,0.446
1224,0.189
1225,0.688
1226,12.731
1227,0.972
1228,10.485
1229,11.674
123,17.0
1230,0.554
1231,1.267
1232,6.274
1233,4.06
1234,5.39
1235,6.147
1236,0.523
1237,3.29
1238,8.842
1239,6.661
124,9.627
1240,3.189
1241,5.225
1242,0.543
1243,0.365
1244,13.317
1245,5.142
1246,7.441
1247,0.288
1248,3.243
1249,2.359
125,13.207
1250,0.457
1251,0.504
1252,5.428
1253,0.61
1254,8.656
1255,7.779
1256,0.499
1257,0.747
1258,5.462
1259,5.808
126,26.153
1260,6.752
1261,0.455
1262,1.534
1263,0.414
1264,1.62
1265,0.766
1266,0.19
1267,0.64
1268,1.019
1269,1.962
127,22.177
1270,1.495
1271,1.734
1272,6.121
1273,1.124
1274,7.604
1275,3.159
1276,6.333
1277,2.03
1278,7.419
1279,5.333
128,1.193
1280,4.314
1281,2.31
1282,2.451
1283,1.59
1284,0.451
1285,2.419
1286,6.734
1287,5.224
1288,5.602
1289,4.073
129,11.592
1290,6.845
1291,0.47
1292,0.34
1293,5.803
1294,2.37
1295,5.721
1296,4.972
1297,1.764
1298,1.907
1299,3.706
13,21.477
130,11.783
1300,0.748
1301,4.936
1302,5.637
1303,3.841
1304,5.322
1305,0.261
1306,1.162
1307,1.154
1308,0.51
1309,3.251
131,6.825
1310,6.366
1311,6.834
1312,0.162
1313,6.114
1314,2.661
1315,3.654
1316,4.373
1317,0.472
1318,3.329
1319,3.048
132,4.599
1320,4.033
1321,2.655
1322,0.402
1323,0.487
1324,2.155
1325,4.669
1326,2.398
1327,4.774
1328,0.321
1329,3.765
133,1.692
1330,5.095
1331,5.488
1332,5.276
1333,1.433
1334,4.264
1335,1.07
1336,0.368
1337,5.316
1338,6.311
1339,1.476
134,11.708
1340,4.412
1341,1.434
1342,0.163
1343,3.002
1344,4.726
1345,3.568
1346,1.294
1347,0.521
1348,4.656
1349,5.507
135,29.065
1350,4.083
1351,2.481
1352,1.005
1353,1.095
1354,2.71
1355,0.933
1356,6.116
1357,6.383
1358,2.35
1359,1.145
