File Name,Max Deformation X,X,Y,Z
0,0.00068627,1508.9,136.5,0.0
1,0.23626,3064.0,30.15,0.0
10,0.2343,22.4,-82.55,0.0
100,0.080734,2272.4,30.15,0.0
1000,0.073823,-8.675,-114.3,0.0
1001,0.04279,-41.5,114.3,0.0
1002,0.066923,3057.0,50.8,0.0
1003,0.030859,41.5,114.3,0.0
1004,0.041487,2180.4,50.8,0.0
1005,0.034236,1553.8,50.8,0.0
1006,0.021077,-23.9,107.95,0.0
1007,0.047706,-23.9,107.95,0.0
1008,0.020433,1181.3,50.8,0.0
1009,0.063729,-23.9,107.95,0.0
101,0.22411,-31.8,82.55,0.0
1010,0.06448,4155.0,50.8,0.0
1011,0.022432,1367.5,-50.8,0.0
1012,0.039484,30.2,-114.3,0.0
1013,0.010167,30.2,-114.3,0.0
1014,0.0538,2958.7,-50.8,0.0
1015,0.014083,30.2,-114.3,0.0
1016,0.0048634,-41.5,114.3,0.0
1017,0.001343,797.47,50.8,0.0
1018,0.01315,41.5,114.3,0.0
1019,0.027648,2263.5,50.8,0.0
102,0.063588,2097.6,-30.15,0.0
1020,0.018759,1868.8,50.8,0.0
1021,0.031518,2118.0,50.8,0.0
1022,0.016952,1706.2,50.8,0.0
1023,0.029542,1756.2,50.8,0.0
1024,0.012457,7.1,107.95,0.0
1025,0.011182,2067.8,50.8,0.0
1026,0.011707,8.675,114.3,0.0
1027,0.026361,1963.2,-50.8,0.0
1028,0.015188,8.675,114.3,0.0
1029,0.034393,3591.8,50.8,0.0
103,0.029447,-31.8,82.55,0.0
1030,0.0024163,30.2,-114.3,0.0
1031,0.013386,1522.7,50.8,0.0
1032,0.010101,-41.5,114.3,0.0
1033,0.0593,4516.0,50.8,0.0
1034,0.025873,2341.1,50.8,0.0
1035,0.026231,-41.5,114.3,0.0
1036,0.055744,4305.0,50.8,0.0
1037,0.02408,23.9,107.95,0.0
1038,0.0039537,991.39,50.8,0.0
1039,0.0080165,1297.0,50.8,0.0
104,0.016832,31.8,82.55,0.0
1040,0.0011226,23.9,107.95,0.0
1041,0.019099,30.2,-114.3,0.0
1042,0.03026,8.675,114.3,0.0
1043,0.0080049,30.2,-114.3,0.0
1044,0.015568,30.2,-114.3,0.0
1045,0.0074891,30.2,-114.3,0.0
1046,0.0091098,41.5,114.3,0.0
1047,0.029944,2853.7,50.8,0.0
1048,0.0035034,41.5,114.3,0.0
1049,0.019441,1905.7,50.8,0.0
105,0.17479,2157.0,30.15,0.0
1050,0.0028337,41.5,114.3,0.0
1051,0.05379,2999.0,50.8,0.0
1052,0.049173,3300.1,50.8,0.0
