File Name,Max Deformation Y,X,Y,Z
0,0.0051892,-101.6,123.61,6.9415
1,14.606,155.54,16.97,21.279
10,6.2432,-1180.3,6.4915,28.441
100,3.3692,365.02,0.0,30.15
1000,3.1983,1040.2,10.665,46.728
1001,1.4159,889.44,21.419,44.476
1002,2.7029,-148.63,10.985,48.127
1003,0.41898,-1108.0,0.0,50.8
1004,1.2874,-318.57,0.0,50.8
1005,0.93659,-643.01,0.0,50.8
1006,0.36171,956.53,0.0,50.8
1007,1.1767,1570.6,10.346,45.329
1008,0.43863,-548.22,0.0,50.8
1009,2.9161,1067.6,10.346,45.329
101,6.9268,1298.2,6.0565,26.535
1010,2.8534,667.36,11.304,49.526
1011,0.4954,-340.4,0.0,-50.8
1012,1.163,785.39,20.173,41.891
1013,0.14006,1658.6,11.304,-49.526
1014,2.0319,81.0,0.0,-50.8
1015,0.15588,719.27,0.0,-50.8
1016,0.039367,615.29,0.0,50.8
1017,0.012956,85.9,45.06,0.0
1018,0.18928,-574.66,11.304,49.526
1019,0.76606,141.61,0.0,50.8
102,2.4326,344.73,0.0,30.15
1020,0.43151,117.97,0.0,-50.8
1021,0.99813,-453.91,0.0,50.8
1022,0.39247,-185.93,0.0,50.8
1023,0.9379,-818.83,0.0,50.8
1024,0.1409,-1293.1,0.0,50.8
1025,0.22931,448.18,11.304,49.526
1026,0.13021,-1593.5,10.855,47.557
1027,0.75139,-293.78,0.0,50.8
1028,0.18196,-930.72,0.0,50.8
1029,1.2231,784.99,11.304,49.526
103,0.31296,744.03,6.709,29.394
1030,0.056097,2153.0,0.0,-50.8
1031,0.27631,-183.46,0.0,50.8
1032,0.19578,494.78,0.0,50.8
1033,2.7194,850.38,9.9556,43.618
1034,0.7444,87.516,42.72,0.0
1035,0.51624,1702.8,11.304,49.526
1036,2.544,691.07,10.405,45.588
1037,0.37206,-1148.9,0.0,50.8
1038,0.049103,71.4,42.72,0.0
1039,0.13232,-55.567,0.0,57.15
104,0.2079,1101.4,0.0,30.15
1040,0.0064495,-371.34,0.0,50.8
1041,0.49137,554.95,0.0,50.8
1042,0.49755,-1163.4,0.0,50.8
1043,0.1825,2487.5,0.0,50.8
1044,0.21577,1355.1,0.0,50.8
1045,0.1127,352.44,11.304,-49.526
1046,0.1402,-500.14,0.0,50.8
1047,1.0023,286.97,11.304,49.526
1048,0.025906,-607.55,0.0,50.8
1049,0.48953,-121.33,0.0,50.8
105,9.0182,-303.17,6.709,29.394
1050,0.072165,2473.5,0.0,50.8
