File Name,Max Deformation Z,X,Y,Z
0,1.8811e-05,180.71,85.106,-106.72
1,0.00086871,-3939.6,18.798,23.572
10,0.0005062,-4675.9,-18.798,23.572
100,0.00050951,-2094.5,21.319,21.319
1000,0.10154,1040.2,50.8,0.0
1001,0.00029911,-2694.2,35.921,35.921
1002,0.00033022,-4594.0,35.921,35.921
1003,0.00011859,-133.99,-35.921,35.921
1004,0.00025038,-137.03,-35.921,35.921
1005,0.00021052,-137.59,35.921,-35.921
1006,0.00017526,-1455.7,31.673,39.717
1007,0.00025081,-2103.7,31.673,39.717
1008,0.00015936,-113.38,35.921,35.921
1009,0.00037629,-3484.1,35.921,35.921
101,0.00064507,-2025.0,21.319,21.319
1010,0.00037207,-3787.7,35.921,35.921
1011,0.047742,-340.4,50.8,0.0
1012,0.049155,785.39,50.8,0.0
1013,0.0042272,1695.2,47.949,-16.778
1014,0.12681,30.2,114.3,0.0
1015,0.0052799,719.27,50.8,0.0
1016,6.895e-05,-661.13,31.673,-39.717
1017,2.8876e-05,-953.58,31.673,39.717
1018,0.0001088,-121.83,-35.921,35.921
1019,0.00021949,-2820.6,35.921,35.921
102,0.0004553,-1854.0,21.319,21.319
1020,0.00017323,-2356.4,31.673,39.717
1021,0.00020097,-3964.2,35.921,35.921
1022,0.00014655,-2725.7,31.673,39.717
1023,0.00018548,-4367.7,35.921,35.921
1024,5.9713e-05,-3701.8,31.673,39.717
1025,0.00012008,-1723.0,31.673,39.717
1026,0.0013985,-1593.5,43.014,27.027
1027,0.047023,-293.78,45.769,22.041
1028,0.0095585,-930.72,45.769,22.041
1029,0.00021605,-3010.8,39.717,31.673
103,0.00019822,-592.59,21.319,21.319
1030,0.0027451,2153.0,45.769,22.041
1031,0.00012934,-2435.3,31.673,39.717
1032,0.00011148,-1568.7,31.673,39.717
1033,0.0002879,-4077.9,-35.921,35.921
1034,0.00018572,-3130.0,-39.717,31.673
1035,0.00012463,-1643.4,39.717,31.673
1036,0.00028553,-4038.2,35.921,35.921
1037,0.0001007,-4143.2,-35.921,35.921
1038,6.2092e-05,-1291.2,-39.717,31.673
1039,9.2556e-05,-1798.9,-35.921,35.921
104,0.00012559,-395.33,18.798,23.572
1040,1.3303e-05,-108.9,35.921,-35.921
1041,0.024673,554.95,50.8,0.0
1042,0.029104,-1163.4,50.8,0.0
1043,0.0028767,2487.5,49.526,-11.304
1044,0.0011718,1391.3,39.717,-31.673
1045,0.0059744,352.44,50.8,0.0
1046,8.184e-05,-122.99,-35.921,35.921
1047,0.00020114,-3183.8,39.717,31.673
1048,2.4032e-05,-140.67,35.921,-35.921
1049,0.00014857,-2879.0,-39.717,31.673
105,0.00065948,-99.716,-23.572,18.798
1050,2.4601e-05,-514.79,31.673,39.717
1051,0.00025926,-4813.0,35.921,35.921
1052,0.00025905,-4228.5,35.921,35.921
1053,0.00018149,-2478.5,31.673,39.717
1054,0.00018139,-4833.8,35.921,35.921
1055,2.0998e-05,-496.18,31.673,39.717
1056,0.10505,351.99,49.526,11.304
1057,0.025142,-30.2,114.3,0.0
1058,0.00082912,-30.2,-114.3,0.0
1059,0.0014991,-30.2,-114.3,0.0
106,0.0012053,-4840.4,18.798,23.572
1060,0.022183,533.58,50.8,0.0
1061,6.0281e-05,-1244.0,31.673,39.717
1062,9.5165e-05,-1087.8,35.921,35.921
1063,0.0001868,-2978.9,31.673,39.717
1064,3.046e-05,-398.86,31.673,39.717
1065,3.4398e-05,-376.2,31.673,39.717
1066,9.1444e-06,-118.79,31.673,-39.717
1067,0.00015385,-3704.3,-35.921,35.921
1068,8.8638e-05,-1553.2,-35.921,35.921
1069,0.0002274,-2830.9,39.717,31.673
107,0.00060045,96.669,21.319,21.319
1070,3.4523e-05,-451.65,35.921,35.921
1071,5.3048e-05,-647.47,31.673,39.717
1072,0.012034,-753.5,50.8,0.0
1073,0.010282,1115.3,50.8,0.0
1074,0.016205,745.16,50.8,0.0
1075,9.9032e-05,-1031.3,31.673,39.717
1076,0.00015115,-139.5,35.921,-35.921
1077,0.00011614,-133.73,-35.921,35.921
1078,0.0002055,-2574.1,31.673,39.717
1079,8.6088e-05,-146.81,35.921,-35.921
108,0.00072527,-87.598,23.572,18.798
1080,0.00022222,-2903.1,35.921,35.921
1081,2.3232e-05,-511.71,31.673,39.717
1082,0.0002899,-4511.9,35.921,35.921
1083,0.0001733,-2408.6,39.717,31.673
1084,0.00018103,-4768.5,35.921,35.921
