File Name,Max Deformation,X,Y,Z
0,30.829,-408.36,6.0565,26.535
1,30.653,-457.07,6.4915,28.441
10,28.001,-627.06,6.4915,28.441
100,28.503,-301.5,11.809,24.522
1000,4.7761,-243.19,0.0,-50.8
1001,4.1763,-363.54,0.0,50.8
1002,4.2471,-433.59,10.346,45.329
1003,3.5696,-642.16,11.304,49.526
1004,4.1922,-409.34,10.665,46.728
1005,4.0342,-459.22,11.304,49.526
1006,3.6144,-171.4,11.304,49.526
1007,4.2293,-220.37,0.0,50.8
1008,3.8738,-548.22,0.0,50.8
1009,4.5484,-331.39,11.304,49.526
101,29.005,-275.2,6.4915,28.441
1010,4.3507,-390.71,10.346,45.329
1011,4.1203,-446.77,0.0,-50.8
1012,4.3135,-303.47,0.0,-50.8
1013,3.0856,30.2,0.0,-114.3
1014,4.432,-377.23,0.0,-50.8
1015,3.429,30.2,0.0,-114.3
1016,2.667,172.2,11.304,49.526
1017,2.3684,-233.33,0.0,50.8
1018,3.5548,-574.66,0.0,50.8
1019,4.141,-382.73,10.665,46.728
102,27.34,-277.32,12.233,25.403
1020,3.9602,-395.63,0.0,50.8
1021,3.207,-500.71,0.0,50.8
1022,3.0813,-501.41,0.0,50.8
1023,3.1483,-523.09,0.0,50.8
1024,2.4721,-851.76,0.0,50.8
1025,2.8526,-265.98,10.405,45.588
1026,2.451,-841.29,10.855,-47.557
1027,3.2749,-457.54,10.855,-47.557
1028,2.7244,-678.95,0.0,-50.8
1029,3.2133,-420.63,10.855,47.557
103,18.853,220.75,6.0565,26.535
1030,2.1512,291.43,0.0,-50.8
1031,2.9509,-451.88,10.405,45.588
1032,2.7416,-227.04,10.405,45.588
1033,3.3496,-374.54,0.0,50.8
1034,3.1856,-480.73,0.0,50.8
1035,2.9012,-179.27,11.304,49.526
1036,3.3463,-358.27,11.304,49.526
1037,2.7999,-635.57,11.304,49.526
1038,2.2538,-278.67,9.9556,43.618
1039,2.6925,-344.01,10.855,47.557
104,17.486,333.19,6.4915,28.441
1040,1.8213,-547.87,10.405,45.588
1041,3.1786,-271.28,0.0,-50.8
1042,2.9694,-556.16,0.0,-50.8
1043,2.8058,242.17,0.0,-50.8
1044,2.6866,30.2,0.0,-114.3
1045,2.6833,-30.2,0.0,-114.3
1046,2.7022,-558.17,0.0,50.8
1047,3.2207,-384.3,11.304,49.526
1048,2.2834,-654.23,0.0,50.8
1049,3.1267,-413.05,10.855,47.557
105,30.296,-438.81,0.0,30.15
1050,2.2271,368.54,11.304,49.526
1051,3.2825,-478.69,11.304,49.526
1052,3.2607,-447.11,9.9556,43.618
1053,3.158,-373.66,9.9556,43.618
1054,3.1807,-497.44,10.405,45.588
1055,2.1567,342.97,0.0,50.8
1056,3.4021,-367.04,0.0,-50.8
1057,3.0438,-368.07,0.0,-50.8
1058,2.7568,-23.025,0.0,-114.3
1059,1.9915,-30.2,0.0,-114.3
106,31.807,-383.5,11.809,24.522
1060,3.1479,-263.78,0.0,-50.8
1061,2.2482,-241.21,0.0,50.8
1062,2.514,71.1,0.0,57.15
1063,3.2013,-403.77,11.304,49.526
1064,1.6855,244.49,11.304,49.526
1065,1.8315,307.94,11.304,49.526
1066,1.6863,-472.58,10.855,47.557
1067,3.1465,-496.13,9.9556,43.618
1068,2.6008,-278.63,10.405,45.588
1069,3.2976,-369.11,0.0,50.8
107,29.859,-406.48,0.0,-30.15
1070,1.9561,271.36,11.304,49.526
1071,2.1444,203.21,10.855,47.557
1072,2.7529,-608.15,0.0,-50.8
1073,3.0662,-30.2,0.0,-114.3
1074,3.082,-201.76,0.0,-50.8
1075,2.4721,61.125,0.0,50.8
1076,3.0571,-503.69,10.405,45.588
1077,2.8885,-570.98,10.405,45.588
1078,3.1564,-355.04,0.0,50.8
1079,2.7532,-463.82,11.304,49.526
108,30.336,-430.79,16.97,21.279
1080,3.2104,-387.47,10.855,47.557
1081,2.0481,322.01,10.405,45.588
1082,3.272,-434.07,11.304,49.526
1083,3.1329,-365.09,10.405,45.588
1084,3.1311,-543.23,10.405,45.588
1085,2.7342,-724.23,0.0,50.8
1086,2.5194,41.25,0.0,50.8
1087,2.8644,-198.54,11.304,49.526
1088,1.8813,-89.08,0.0,-50.8
1089,1.25,-147.29,0.0,50.8
109,26.474,-203.34,6.709,29.394
1090,3.3009,-423.49,0.0,-50.8
1091,2.5592,-790.45,11.304,49.526
1092,2.4516,-830.93,10.855,47.557
1093,3.0028,-567.58,9.9556,43.618
1094,3.1844,-499.3,10.855,47.557
1095,2.8407,-543.89,11.304,49.526
1096,3.2602,-424.36,0.0,50.8
1097,2.6675,-160.1,9.9556,43.618
1098,0.98712,77.056,2.8484,50.72
1099,3.2541,-413.43,10.855,47.557
11,26.21,-336.17,16.97,21.279
110,30.635,-410.46,16.97,21.279
1100,3.2257,-451.64,11.304,49.526
1101,2.2827,30.2,0.0,-114.3
1102,2.4507,30.2,0.0,-114.3
1103,3.401,-356.77,0.0,-50.8
1104,3.2239,-429.07,10.855,47.557
1105,3.2398,-289.72,0.0,-50.8
1106,1.6266,-482.36,9.9556,43.618
1107,2.5517,-93.98,0.0,50.8
1108,2.7597,-644.78,11.304,49.526
1109,3.1459,-356.15,0.0,50.8
111,30.742,-382.97,11.809,24.522
1110,3.2324,-415.98,0.0,50.8
1111,3.2566,-466.69,9.9556,43.618
1112,2.164,53.925,0.0,50.8
1113,3.2328,-430.78,10.405,45.588
1114,3.3707,-372.09,0.0,50.8
1115,2.7241,-671.57,9.9556,43.618
1116,3.0863,-547.32,0.0,-50.8
1117,3.3484,-391.79,0.0,-50.8
1118,1.5336,-295.73,9.9556,43.618
1119,2.4321,-776.9,0.0,-50.8
112,20.287,-157.66,16.97,21.279
1120,3.2302,-369.52,0.0,-50.8
1121,2.1978,91.556,2.7351,48.703
1122,3.505,-274.29,10.405,45.588
1123,3.353,-257.25,0.0,50.8
1124,3.3938,-320.08,10.855,47.557
1125,3.3304,-371.22,10.855,47.557
1126,3.5066,-306.29,11.304,49.526
1127,3.6094,-276.46,0.0,50.8
1128,3.2106,-344.88,9.9556,43.618
1129,2.2485,189.09,0.0,50.8
113,30.832,-399.56,6.709,29.394
1130,3.2681,-387.53,10.405,45.588
1131,3.3838,-364.95,0.0,-50.8
1132,3.5003,-289.43,0.0,-50.8
1133,3.3937,-375.76,0.0,-50.8
1134,3.3317,-396.57,0.0,-50.8
1135,3.3842,-366.4,0.0,-50.8
1136,2.6604,-649.87,0.0,50.8
1137,3.2209,-416.88,11.304,49.526
1138,2.7213,-621.73,9.9556,43.618
1139,3.2284,-395.5,0.0,50.8
114,29.024,-457.92,11.809,24.522
1140,3.2587,-434.41,10.405,45.588
1141,1.8214,-82.22,48.261,16.887
1142,2.8456,-423.39,12.382,-54.25
1143,2.8638,-463.46,12.717,-55.717
1144,2.8823,-412.64,12.047,-52.783
1145,2.2111,-727.04,0.0,-57.15
1146,2.9919,-309.5,12.717,55.717
1147,2.1618,-466.94,11.712,51.315
1148,2.7884,-488.69,12.047,52.783
1149,2.7204,-364.58,12.047,52.783
115,24.964,222.28,16.97,21.279
1150,2.7271,-368.15,0.0,57.15
1151,2.9106,-393.02,12.047,-52.783
1152,2.7971,-466.16,0.0,-57.15
1153,2.7151,-518.25,12.047,-52.783
1154,2.8149,-327.8,12.382,-54.25
1155,2.8853,-387.02,0.0,-57.15
1156,2.9786,-384.83,0.0,-57.15
1157,2.35,-284.57,0.0,-57.15
1158,2.7592,-23.9,0.0,-114.3
1159,2.9325,-352.36,0.0,-57.15
116,12.468,157.77,6.0565,26.535
1160,2.8986,-321.05,0.0,-57.15
1161,1.7913,175.7,12.047,52.783
1162,2.4916,-528.0,12.717,55.717
1163,2.7685,-371.05,12.382,54.25
1164,2.8214,-392.64,0.0,57.15
1165,2.3217,-128.9,0.0,57.15
1166,2.7013,-274.23,0.0,-57.15
1167,2.4565,-510.34,0.0,-57.15
1168,2.5337,-44.5,0.0,-136.55
1169,2.7848,-463.96,0.0,-57.15
117,28.126,-225.43,11.809,24.522
1170,2.9909,-280.41,0.0,-57.15
1171,2.7359,-471.28,11.712,51.315
1172,2.253,-319.19,0.0,-57.15
1173,2.1296,-666.41,0.0,-57.15
1174,3.1062,-266.68,0.0,-57.15
1175,2.229,-23.9,0.0,-114.3
1176,2.7713,-368.95,0.0,57.15
1177,1.5862,-85.9,52.783,12.047
1178,2.8035,-415.86,12.717,55.717
1179,1.5221,421.83,11.712,51.315
118,30.046,-417.39,11.809,24.522
1180,2.1388,158.2,0.0,57.15
1181,1.641,283.32,0.0,-57.15
1182,1.9042,-223.98,47.422,22.837
1183,2.6009,-44.5,0.0,-136.55
1184,2.9419,-382.76,0.0,-57.15
1185,2.9587,-358.96,0.0,-57.15
1186,2.5171,-464.68,0.0,-57.15
1187,2.9021,-359.29,0.0,-57.15
1188,2.1527,23.9,0.0,-114.3
1189,2.7199,-206.74,0.0,-57.15
119,21.853,-470.11,12.657,26.284
1190,2.8957,-367.05,0.0,-57.15
1191,1.4455,286.93,12.382,54.25
1192,2.8222,-402.27,12.382,54.25
1193,2.8041,-408.77,12.382,54.25
1194,2.9642,-328.31,12.717,55.717
1195,2.386,-166.87,0.0,57.15
1196,2.8604,-378.65,0.0,-57.15
1197,2.743,-44.5,0.0,-136.55
1198,2.9046,-330.26,0.0,-57.15
1199,2.9056,-348.83,0.0,-57.15
12,30.559,-463.21,11.809,24.522
120,30.757,-402.76,16.97,21.279
1200,3.1368,-44.5,0.0,-136.55
1201,2.8929,-433.1,12.382,-54.25
1202,2.4169,-82.22,51.315,11.712
1203,3.0168,-328.67,0.0,-57.15
1204,2.471,-677.77,12.717,-55.717
1205,3.1661,-251.88,11.712,51.315
1206,2.5814,-270.71,12.047,52.783
1207,2.7941,-455.93,11.712,51.315
1208,1.7088,-434.25,12.717,55.717
1209,2.8256,-434.93,0.0,57.15
121,25.733,-317.04,16.208,20.324
1210,2.5591,-314.87,12.717,55.717
1211,2.7726,-298.15,12.382,-54.25
1212,3.024,-347.09,12.047,-52.783
1213,2.6094,-215.89,47.422,22.837
1214,1.8217,101.6,0.0,57.15
1215,2.4359,-107.62,51.315,11.712
1216,2.9724,-383.62,0.0,-57.15
1217,2.308,-327.74,0.0,-57.15
1218,2.9192,-368.32,0.0,-57.15
