File Name,Frequency
0,2.0823
1,2.8753
10,3.0059
100,2.1849
1000,3.289
1001,3.2589
1002,3.2155
1003,3.6487
1004,3.2503
1005,3.3476
1006,4.2335
1007,3.7594
1008,4.0243
1009,3.5403
101,1.9094
1010,3.6567
1011,3.2175
1012,3.11
1013,3.8594
1014,3.0454
1015,3.6278
1016,3.6796
1017,3.9781
1018,3.137
1019,2.824
102,1.9942
1020,2.9126
1021,5.0204
1022,5.2915
1023,5.1154
1024,6.2
1025,5.7982
1026,6.0703
1027,4.8475
1028,5.6705
1029,4.858
103,2.507
1030,6.9258
1031,5.2351
1032,5.6316
1033,4.545
1034,4.795
1035,5.2758
1036,3.9896
1037,4.6324
1038,5.6338
1039,4.8881
104,2.6184
1040,6.5838
1041,3.676
1042,3.8519
1043,4.0101
1044,4.1572
1045,4.1883
1046,3.7065
1047,3.2493
1048,4.1653
1049,3.3297
105,1.8538
1050,4.1292
1051,4.2216
1052,4.2571
1053,4.4145
1054,4.3517
1055,5.844
1056,3.6825
1057,4.0761
1058,4.3822
1059,5.5973
106,2.0648
1060,3.9541
1061,4.5585
1062,4.1538
1063,3.5096
1064,5.4256
1065,5.1074
1066,6.5925
1067,4.0642
1068,4.7983
1069,3.9016
107,2.1833
1070,5.7398
1071,4.4425
1072,3.8424
1073,3.5625
1074,3.5503
1075,4.0618
1076,3.1742
1077,3.3038
1078,3.0987
1079,3.4247
108,2.1516
1080,3.0591
1081,7.4616
1082,4.8955
1083,5.2074
1084,5.1217
1085,5.7709
1086,6.166
1087,5.5161
1088,8.3472
1089,11.7674
109,2.3898
1090,4.8039
1091,5.7258
1092,5.8871
1093,5.0628
1094,4.7871
1095,5.4262
1096,4.0875
1097,4.8922
1098,9.7922
1099,4.0953
11,3.1865
110,2.133
1100,4.1258
1101,4.615
1102,4.417
1103,3.4668
1104,3.5714
1105,3.6201
1106,5.1797
1107,3.8093
1108,3.6321
1109,3.3091
111,1.8008
1110,3.2393
1111,4.259
1112,6.0686
1113,4.3028
1114,4.1275
1115,4.9408
1116,3.9812
1117,3.738
1118,6.6082
1119,4.7483
112,2.37
1120,3.8717
1121,4.5721
1122,3.2878
1123,3.3952
1124,3.3567
1125,3.3977
1126,3.7122
1127,3.6341
1128,3.9998
1129,5.2181
113,1.7966
1130,3.9295
1131,3.2975
1132,3.2131
1133,3.2888
1134,3.3417
1135,3.2967
1136,3.494
1137,3.0518
1138,3.4408
1139,3.0457
114,1.8809
1140,3.0234
1141,8.8558
1142,5.644
1143,5.5625
1144,5.5623
1145,6.9943
1146,5.0227
1147,6.894
1148,5.3178
1149,5.488
115,2.0615
1150,5.4736
1151,4.8622
1152,5.0528
1153,5.1917
1154,5.0528
1155,4.9103
1156,4.2317
1157,5.1975
1158,4.5453
1159,4.299
116,2.6665
1160,4.3511
1161,4.9502
1162,4.0339
1163,3.7251
1164,3.6675
1165,4.1931
1166,3.3646
1167,3.5942
1168,3.5072
1169,3.2954
117,1.6611
1170,3.1312
1171,4.7319
1172,5.7187
1173,5.8733
1174,4.3201
1175,5.7658
1176,3.9923
1177,5.8522
1178,3.9518
1179,5.9089
118,1.5975
1180,4.7538
1181,4.965
1182,4.5714
1183,3.7554
1184,3.4264
1185,3.4114
1186,4.6586
1187,4.1442
1188,5.1682
1189,4.3709
119,1.9652
1190,4.1519
1191,5.2595
1192,3.4504
1193,3.4682
1194,3.3339
1195,3.8598
1196,3.0195
1197,3.1014
