File Name,HotSpotStress
1,67.939
10,23.056
100,44.16
1000,23.283
1001,15.011
1002,17.227
1003,4.69
1004,12.987
1005,9.907
1006,8.929
1007,12.553
1008,7.335
1009,18.48
101,59.607
1010,18.417
1011,11.175
1012,17.274
1013,5.543
1014,19.882
1015,8.607
1016,4.737
1017,4.219
1018,6.016
1019,12.183
102,44.787
1020,10.145
1021,7.518
1022,6.066
1023,6.03
1024,0.887
1025,5.74
1026,0.572
1027,8.26
1028,2.333
1029,9.782
103,19.837
1030,1.008
1031,5.63
1032,5.563
1033,13.099
1034,8.174
1035,6.026
1036,13.23
1037,2.903
1038,3.693
1039,4.897
104,12.915
1040,1.424
1041,9.171
1042,4.265
1043,3.0
1044,5.594
1045,5.766
1046,4.147
1047,10.112
1048,1.964
1049,7.63
105,60.865
1050,1.583
1051,11.166
1052,11.599
1053,8.537
1054,6.482
1055,4.613
1056,15.13
1057,6.834
1058,5.949
1059,3.545
106,96.744
1060,8.725
1061,3.929
1062,4.829
1063,9.252
1064,2.117
1065,1.868
1066,1.564
1067,6.874
1068,4.819
1069,10.789
107,50.959
1070,1.925
1071,2.762
1072,3.491
1073,8.74
1074,8.666
1075,4.752
1076,6.695
1077,4.957
1078,9.975
1079,4.995
108,54.178
1080,10.936
1081,1.114
1082,12.405
1083,8.022
1084,5.316
1085,2.136
1086,4.079
1087,6.15
1088,2.996
1089,1.514
109,40.581
1090,8.935
1091,1.379
1092,0.809
1093,4.795
1094,7.911
1095,4.737
1096,10.274
1097,5.313
1098,1.258
1099,9.508
11,36.223
110,61.274
1100,7.857
1101,2.948
1102,4.225
1103,15.027
1104,8.795
1105,9.812
1106,1.577
1107,5.373
1108,2.862
1109,9.893
111,75.941
1110,10.908
1111,8.967
1112,3.578
1113,9.354
1114,13.577
1115,2.522
1116,4.771
1117,10.324
1118,1.746
1119,1.067
112,22.73
1120,8.487
1121,3.846
1122,11.793
1123,10.368
1124,11.673
1125,12.103
1126,14.139
