File Name,Max Deformation Z,X,Y,Z
0,7.6745e-05,-1350.1,49.957,49.957
1,0.0044272,1786.0,-23.572,18.798
10,0.0018878,-1582.7,21.319,21.319
100,0.0006947,102.93,-21.319,-21.319
1000,0.19609,30.2,-114.3,0.0
1001,0.00037678,138.57,35.921,35.921
1002,0.00043264,135.57,-35.921,-35.921
1003,0.00012259,-1023.3,-35.921,35.921
1004,0.00032732,-137.03,35.921,-35.921
1005,0.00025046,-137.59,35.921,35.921
1006,0.00021703,103.44,35.921,35.921
1007,0.00031099,128.64,35.921,-35.921
1008,0.00018758,-113.38,35.921,-35.921
1009,0.000455,193.66,35.921,35.921
101,0.00082831,101.53,-18.798,-23.572
1010,0.0004532,-129.4,-35.921,-35.921
1011,0.027249,-30.2,-114.3,0.0
1012,0.066806,1.5,-114.3,0.0
1013,0.010065,1219.9,-49.526,-11.304
1014,0.092006,-30.2,-114.3,0.0
1015,0.016174,30.2,-114.3,0.0
1016,0.00011427,131.92,35.921,-35.921
1017,9.5295e-05,-127.06,31.673,-39.717
1018,0.00015071,-121.83,35.921,35.921
1019,0.00030845,-128.03,35.921,35.921
102,0.00059959,103.87,-21.319,21.319
1020,0.00025194,-122.04,35.921,35.921
1021,0.0002044,-126.28,35.921,35.921
1022,0.00016052,-127.87,35.921,35.921
1023,0.00018014,-1163.9,35.921,35.921
1024,5.4913e-05,-1624.0,35.921,35.921
1025,0.00014932,132.15,35.921,35.921
1026,0.0015493,-1886.0,-39.717,-31.673
1027,0.086683,-744.11,-45.769,-22.041
1028,0.011225,-1232.8,-39.717,-31.673
1029,0.00026999,135.47,35.921,35.921
103,0.00025588,107.89,-21.319,21.319
1030,0.0037858,1748.3,-39.717,-31.673
1031,0.00014715,-123.81,35.921,35.921
1032,0.00014452,144.08,-35.921,35.921
1033,0.00034414,152.16,-35.921,35.921
1034,0.00021989,-132.66,35.921,35.921
1035,0.00017186,1040.3,-35.921,35.921
1036,0.00034858,135.08,35.921,-35.921
1037,9.9347e-05,-1362.8,-35.921,35.921
1038,9.5429e-05,-112.68,35.921,-35.921
