pipe_dn,pipe_schedule,flange_class,outside_diameter,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,x_deformation_position,y_deformation_position,z_deformation_position,frequency,support_right,support_left,support,allowable_deformation,,,
50,40,150,60.3,3064,3964,3.91,0,1.5,63.5,76.2,17.6,45.95,-408.36,0,30.15,6.3338,Fixed,Fixed,Fixed_Fixed,13.137,1034.409449,369.6795409,75
50,40,150,60.3,4519,4102,3.91,0,1.5,63.5,76.2,17.6,45.95,243.13,0,30.15,4.2808,Fixed,Fixed,Fixed_Fixed,19.284,1518.425197,366.7641948,
50,40,150,60.3,4490,947,3.91,0,1.5,63.5,76.2,17.6,45.95,1725.9,16.97,21.279,11.8597,Fixed,Fixed,Fixed_Fixed,25.803,2031.732283,1359.59255,
50,40,150,60.3,4134,4184,3.91,0,1.5,63.5,76.2,17.6,45.95,-67.41,0,30.15,4.5764,Fixed,Fixed,Fixed_Fixed,17.892,1408.818898,363.7874704,
50,40,150,60.3,469,729,3.91,0,1.5,63.5,76.2,17.6,45.95,-117.03,0,30.15,155.6812,Fixed,Fixed,Fixed_Fixed,0.343,27.00787402,237.2439581,
50,40,300,60.3,3551,1625,3.91,0,1.5,69.9,82.55,20.9,45.95,864.08,0,30.15,11.4934,Fixed,Fixed,Fixed_Fixed,10.063,792.3622047,513.855329,
50,40,300,60.3,2080,2273,3.91,0,1.5,69.9,82.55,20.9,45.95,-117.22,6.0565,26.535,14.4546,Fixed,Fixed,Fixed_Fixed,4.928,388.0314961,316.4766317,
50,40,300,60.3,2737,3032,3.91,0,1.5,69.9,82.55,20.9,45.95,-151.66,0,30.15,8.6722,Fixed,Fixed,Fixed_Fixed,8.91,701.5748031,343.2984635,
50,40,300,60.3,3392,4257,3.91,0,1.5,69.9,82.55,20.9,45.95,-387.55,0,30.15,5.1841,Fixed,Fixed,Fixed_Fixed,16.338,1286.456693,376.3025251,
50,40,300,60.3,1211,4701,3.91,0,1.5,69.9,82.55,20.9,45.95,-1683.3,6.709,29.394,9.7714,Fixed,Fixed,Fixed_Fixed,95.627,7529.685039,4151.47277,
50,40,600,60.3,1580,1867,3.91,0,6.4,73.2,82.55,25.4,45.95,-147.76,0,30.15,21.1226,Fixed,Fixed,Fixed_Fixed,2.668,210.0787402,250.3790981,
50,40,600,60.3,3677,3552,3.91,0,6.4,73.2,82.55,25.4,45.95,100.79,6.709,29.394,5.5547,Fixed,Fixed,Fixed_Fixed,12.584,990.8661417,310.5590493,
50,40,600,60.3,3980,2360,3.91,0,6.4,73.2,82.55,25.4,45.95,727.59,6.709,29.394,7.36,Fixed,Fixed,Fixed_Fixed,10.974,864.0944882,358.8456126,
50,40,600,60.3,4297,4880,3.91,0,6.4,73.2,82.55,25.4,45.95,-266.7,16.97,21.279,3.5845,Fixed,Fixed,Fixed_Fixed,20.608,1622.677165,328.1929903,
