pipe_dn,pipe_schedule,flange_class,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,frequency,x_deformation_position,y_deformation_position,z_deformation_position,support,allowable_deformation
50,40,150,3064,3964,3.91,0,1.5,63.5,76.2,17.6,45.95,6.3338,-408.36,0,30.15,Fixed_Fixed,12.756
50,40,150,4519,4102,3.91,0,1.5,63.5,76.2,17.6,45.95,4.2808,243.13,0,30.15,Fixed_Fixed,18.44
50,40,150,4490,947,3.91,0,1.5,63.5,76.2,17.6,45.95,11.8597,1725.9,16.97,21.279,Fixed_Fixed,25.823
50,40,150,4134,4184,3.91,0,1.5,63.5,76.2,17.6,45.95,4.5764,-67.41,0,30.15,Fixed_Fixed,17.055
50,40,150,469,729,3.91,0,1.5,63.5,76.2,17.6,45.95,155.6812,-117.03,0,30.15,Fixed_Fixed,0.343
50,40,300,3551,1625,3.91,0,1.5,69.9,82.55,20.9,45.95,11.4934,864.08,0,30.15,Fixed_Fixed,9.474
50,40,300,2080,2273,3.91,0,1.5,69.9,82.55,20.9,45.95,14.4546,-117.22,6.0565,26.535,Fixed_Fixed,4.703
50,40,300,2737,3032,3.91,0,1.5,69.9,82.55,20.9,45.95,8.6722,-151.66,0,30.15,Fixed_Fixed,8.505
50,40,300,3392,4257,3.91,0,1.5,69.9,82.55,20.9,45.95,5.1841,-387.55,0,30.15,Fixed_Fixed,15.901
50,40,300,1211,4701,3.91,0,1.5,69.9,82.55,20.9,45.95,9.7714,-1683.3,6.709,29.394,Fixed_Fixed,95.712
50,40,600,1580,1867,3.91,0,6.4,73.2,82.55,25.4,45.95,21.1226,-147.76,0,30.15,Fixed_Fixed,2.622
50,40,600,3677,3552,3.91,0,6.4,73.2,82.55,25.4,45.95,5.5547,100.79,6.709,29.394,Fixed_Fixed,11.844
50,40,600,3980,2360,3.91,0,6.4,73.2,82.55,25.4,45.95,7.36,727.59,6.709,29.394,Fixed_Fixed,10.295
50,40,600,4297,4880,3.91,0,6.4,73.2,82.55,25.4,45.95,3.5845,-266.7,16.97,21.279,Fixed_Fixed,19.914
50,40,600,3944,2612,3.91,0,6.4,73.2,82.55,25.4,45.95,6.8173,608.81,0,30.15,Fixed_Fixed,10.449
50,40,150,472,2459,3.91,17,1.5,63.5,76.2,17.6,45.95,35.4344,-889.52,6.709,29.394,Fixed_Fixed,10.273
50,40,150,848,2835,3.91,17,1.5,63.5,76.2,17.6,45.95,19.4951,-819.47,0,30.15,Fixed_Fixed,5.062
50,40,150,3831,3364,3.91,17,1.5,63.5,76.2,17.6,45.95,4.4851,215.97,0,30.15,Fixed_Fixed,11.333
50,40,150,1424,4929,3.91,17,1.5,63.5,76.2,17.6,45.95,7.4583,-1547,11.809,24.522,Fixed_Fixed,22.764
50,40,150,1498,3288,3.91,17,1.5,63.5,76.2,17.6,45.95,10.414,-689.57,11.809,24.522,Fixed_Fixed,6.118
50,40,300,4331,2128,3.91,30,1.5,69.9,82.55,20.9,45.95,5.202,799.47,6.0565,26.535,Fixed_Fixed,10.531
50,40,300,4764,4881,3.91,30,1.5,69.9,82.55,20.9,45.95,2.3196,-73.81,30.15,0,Fixed_Fixed,21.808
50,40,300,2940,4442,3.91,30,1.5,69.9,82.55,20.9,45.95,3.8053,-565.23,0,30.15,Fixed_Fixed,13.31
50,40,300,1140,2770,3.91,30,1.5,69.9,82.55,20.9,45.95,12.8967,-594.66,0,30.15,Fixed_Fixed,4.05
50,40,300,3920,4660,3.91,30,1.5,69.9,82.55,20.9,45.95,2.8467,-315.19,0,-30.15,Fixed_Fixed,17.34
50,40,600,2614,3503,3.91,45,6.4,73.2,82.55,25.4,45.95,4.4236,-334.05,0,30.15,Fixed_Fixed,7.65
50,40,600,3267,1054,3.91,45,6.4,73.2,82.55,25.4,45.95,10.918,839.91,11.809,24.522,Fixed_Fixed,4.507
