pipe_dn,pipe_schedule,flange_class,outside_diameter,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,x_deformation_position,y_deformation_position,z_deformation_position,frequency,support_right,support_left,support,allowable_deformation
50,40,150,60.3,3064.0,3964.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,-408.36,0.0,30.15,6.3338,Fixed,Fixed,Fixed_Fixed,13.137
50,40,150,60.3,4519.0,4102.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,243.13,0.0,30.15,4.2808,Fixed,Fixed,Fixed_Fixed,19.284
50,40,150,60.3,4490.0,947.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,1725.9,16.97,21.279,11.8597,Fixed,Fixed,Fixed_Fixed,25.803
50,40,150,60.3,4134.0,4184.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,-67.41,0.0,30.15,4.5764,Fixed,Fixed,Fixed_Fixed,17.892
50,40,150,60.3,469.0,729.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,-117.03,0.0,30.15,155.6812,Fixed,Fixed,Fixed_Fixed,0.343
50,40,300,60.3,3551.0,1625.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,864.08,0.0,30.15,11.4934,Fixed,Fixed,Fixed_Fixed,10.063
50,40,300,60.3,2080.0,2273.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,-117.22,6.0565,26.535,14.4546,Fixed,Fixed,Fixed_Fixed,4.928
50,40,300,60.3,2737.0,3032.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,-151.66,0.0,30.15,8.6722,Fixed,Fixed,Fixed_Fixed,8.91
50,40,300,60.3,3392.0,4257.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,-387.55,0.0,30.15,5.1841,Fixed,Fixed,Fixed_Fixed,16.338
50,40,300,60.3,1211.0,4701.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,-1683.3,6.709,29.394,9.7714,Fixed,Fixed,Fixed_Fixed,95.627
50,40,600,60.3,1580.0,1867.0,3.91,0.0,6.4,73.2,82.55,25.4,45.95,-147.76,0.0,30.15,21.1226,Fixed,Fixed,Fixed_Fixed,2.668
50,40,600,60.3,3677.0,3552.0,3.91,0.0,6.4,73.2,82.55,25.4,45.95,100.79,6.709,29.394,5.5547,Fixed,Fixed,Fixed_Fixed,12.584
50,40,600,60.3,3980.0,2360.0,3.91,0.0,6.4,73.2,82.55,25.4,45.95,727.59,6.709,29.394,7.36,Fixed,Fixed,Fixed_Fixed,10.974
50,40,600,60.3,4297.0,4880.0,3.91,0.0,6.4,73.2,82.55,25.4,45.95,-266.7,16.97,21.279,3.5845,Fixed,Fixed,Fixed_Fixed,20.608
50,40,600,60.3,3944.0,2612.0,3.91,0.0,6.4,73.2,82.55,25.4,45.95,608.81,0.0,30.15,6.8173,Fixed,Fixed,Fixed_Fixed,11.111
50,40,150,60.3,472.0,2459.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,-889.52,6.709,29.394,35.4344,Fixed,Fixed,Fixed_Fixed,11.384
50,40,150,60.3,848.0,2835.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,-819.47,0.0,30.15,19.4951,Fixed,Fixed,Fixed_Fixed,5.055
50,40,150,60.3,3831.0,3364.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,215.97,0.0,30.15,4.4851,Fixed,Fixed,Fixed_Fixed,12.003
50,40,150,60.3,1424.0,4929.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,-1547.0,11.809,24.522,7.4583,Fixed,Fixed,Fixed_Fixed,22.748
50,40,150,60.3,1498.0,3288.0,3.91,17.0,1.5,63.5,76.2,17.6,45.95,-689.57,11.809,24.522,10.414,Fixed,Fixed,Fixed_Fixed,6.114
50,40,300,60.3,4331.0,2128.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,799.47,6.0565,26.535,5.202,Fixed,Fixed,Fixed_Fixed,11.176
50,40,300,60.3,4764.0,4881.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,-73.81,30.15,0.0,2.3196,Fixed,Fixed,Fixed_Fixed,22.647
50,40,300,60.3,2940.0,4442.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,-565.23,0.0,30.15,3.8053,Fixed,Fixed,Fixed_Fixed,13.555
50,40,300,60.3,1140.0,2770.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,-594.66,0.0,30.15,12.8967,Fixed,Fixed,Fixed_Fixed,4.05
50,40,300,60.3,3920.0,4660.0,3.91,30.0,1.5,69.9,82.55,20.9,45.95,-315.19,0.0,-30.15,2.8467,Fixed,Fixed,Fixed_Fixed,17.901
50,40,600,60.3,2614.0,3503.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,-334.05,0.0,30.15,4.4236,Fixed,Fixed,Fixed_Fixed,7.956
50,40,600,60.3,3267.0,1054.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,839.91,11.809,24.522,10.918,Fixed,Fixed,Fixed_Fixed,4.825
50,40,600,60.3,4246.0,1899.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,835.09,6.0565,26.535,5.1748,Fixed,Fixed,Fixed_Fixed,8.86
50,40,600,60.3,2467.0,768.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,622.63,6.709,29.394,17.8241,Fixed,Fixed,Fixed_Fixed,2.565
50,40,600,60.3,2640.0,4141.0,3.91,45.0,6.4,73.2,82.55,25.4,45.95,-512.53,6.4915,28.441,3.8761,Fixed,Fixed,Fixed_Fixed,10.006
50,40,150,60.3,3493.0,4734.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,-475.74,24.522,11.809,3.8262,Fixed,Fixed,Fixed_Fixed,16.496
50,40,150,60.3,3359.0,3482.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,-89.874,0.0,30.15,5.1773,Fixed,Fixed,Fixed_Fixed,10.956
50,40,150,60.3,1563.0,2167.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,-251.12,0.0,30.15,14.9679,Fixed,Fixed,Fixed_Fixed,3.157
50,40,150,60.3,616.0,4796.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,-2053.4,6.4915,28.441,12.095,Fixed,Fixed,Fixed_Fixed,10.589
50,40,150,60.3,3926.0,3027.0,3.91,12.75,1.5,63.5,76.2,17.6,45.95,356.8,6.4915,28.441,5.1105,Fixed,Fixed,Fixed_Fixed,11.553
50,40,300,60.3,2561.0,2516.0,3.91,22.5,1.5,69.9,82.55,20.9,45.95,69.9,0.0,30.15,7.3172,Fixed,Fixed,Fixed_Fixed,6.174
