pipe_dn,pipe_schedule,flange_class,outside_diameter,length1,length2,wall_thickness,lumped_mass,raised_face_depth,w_neck_c,flange_outer_radius,flange_thickness_d,raised_face_radius,hot_spot_stress,frequency,max_deformation,x_deformation_position,y_deformation_position,z_deformation_position,support_right,support_left,support,ratio,allowable_deformation
50,40,150,60.3,3064.0,3964.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,31.285,6.3338,7.5297,-408.36,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.694,12.756
50,40,150,60.3,4519.0,4102.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,41.098,4.2808,14.299,243.13,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.29,18.44
50,40,150,60.3,4490.0,947.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,2.483,11.8597,1.2098,1725.9,16.97,21.279,Fixed,Fixed,Fixed_Fixed,21.345,25.823
50,40,150,60.3,4134.0,4184.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,39.994,4.5764,12.87,-67.41,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.325,17.055
50,40,150,60.3,469.0,729.0,3.91,0.0,1.5,63.5,76.2,17.6,45.95,5.119,155.6812,0.033096,-117.03,0.0,30.15,Fixed,Fixed,Fixed_Fixed,10.354,0.343
50,40,300,60.3,3551.0,1625.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,13.18,11.4934,2.3559,864.08,0.0,30.15,Fixed,Fixed,Fixed_Fixed,4.021,9.474
50,40,300,60.3,2080.0,2273.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,20.237,14.4546,1.7956,-117.22,6.0565,26.535,Fixed,Fixed,Fixed_Fixed,2.619,4.703
50,40,300,60.3,2737.0,3032.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,26.355,8.6722,4.2293,-151.66,0.0,30.15,Fixed,Fixed,Fixed_Fixed,2.011,8.505
50,40,300,60.3,3392.0,4257.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,32.597,5.1841,9.7799,-387.55,0.0,30.15,Fixed,Fixed,Fixed_Fixed,1.626,15.901
50,40,300,60.3,1211.0,4701.0,3.91,0.0,1.5,69.9,82.55,20.9,45.95,1.122,9.7714,2.0262,-1683.3,6.709,29.394,Fixed,Fixed,Fixed_Fixed,47.237,95.712
