Schedule Number,Pipe DN,Outside Diamter (mm),Wall Thickness (mm)
40.0,50,60.3,3.91
80.0,50,60.3,5.54
XXS,50,60.3,11.07
40.0,65,73.0,5.16
80.0,65,73.0,7.01
XXS,65,73.0,14.02
40.0,80,88.9,5.49
80.0,80,88.9,7.62
XXS,80,88.9,15.24
40.0,90,101.6,5.74
80.0,90,101.6,8.08
40.0,100,114.3,6.02
80.0,100,114.3,8.56
XXS,100,114.3,17.12
40.0,125,141.3,6.55
80.0,125,141.3,9.53
XXS,125,141.3,19.05
40.0,150,168.3,7.11
80.0,150,168.3,10.97
XXS,150,168.3,21.95
40.0,200,219.1,8.18
80.0,200,219.1,12.7
XXS,200,219.1,22.23
40.0,250,273.0,9.27
80.0,250,273.0,15.09
STD,300,323.8,9.53
40.0,300,323.8,10.31
XS,300,323.8,12.7
80.0,300,323.8,17.48
40.0,400,406.4,12.7
80.0,400,406.4,21.44
