Pipe DN,Pipe Schedule,Flange Class,Outside Diamter (mm),Length1,Length2,Wall Thickness (mm),Lumped Mass,Raised Face Depth,W Neck C (mm),Flange Outer Radius,Flange Thickness D (mm),Raised Face Radius,new_col
50,40,150,60.3,2834,1307,3.91,0.0001,1.5,63.5,76.2,17.6,45.95,1
50,40,150,60.3,425,1135,3.91,0.0001,1.5,63.5,76.2,17.6,45.95,2
50,40,150,60.3,728,1423,3.91,0.0001,1.5,63.5,76.2,17.6,45.95,3
50,40,150,60.3,1507,2456,3.91,0.0001,1.5,63.5,76.2,17.6,45.95,4
50,40,150,60.3,2484,2695,3.91,0.0001,1.5,63.5,76.2,17.6,45.95,5
50,40,300,60.3,1406,600,3.91,0.0001,1.5,69.9,82.55,20.9,45.95,6
50,40,300,60.3,2509,1650,3.91,0.0001,1.5,69.9,82.55,20.9,45.95,7
50,40,300,60.3,1163,450,3.91,0.0001,1.5,69.9,82.55,20.9,45.95,8
50,40,300,60.3,1436,477,3.91,0.0001,1.5,69.9,82.55,20.9,45.95,9
50,40,300,60.3,476,2876,3.91,0.0001,1.5,69.9,82.55,20.9,45.95,10
50,40,600,60.3,407,1813,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,11
50,40,600,60.3,2404,1427,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,12
50,40,600,60.3,961,971,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,13
50,40,600,60.3,2258,2504,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,14
50,40,600,60.3,1302,819,3.91,0.0001,6.4,73.2,82.55,25.4,45.95,15
50,40,150,60.3,398,445,3.91,17,1.5,63.5,76.2,17.6,45.95,16
50,40,150,60.3,2199,438,3.91,17,1.5,63.5,76.2,17.6,45.95,17
50,40,150,60.3,955,686,3.91,17,1.5,63.5,76.2,17.6,45.95,18
50,40,150,60.3,2277,2502,3.91,17,1.5,63.5,76.2,17.6,45.95,19
